,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,x56,x57,x58,x59,x60,x61,x62,x63,x64,x65,x66,x67,x68,x69,x70,x71,x72,x73,x74,x75,x76,x77,x78,x79,x80,x81,x82,x83,x84,x85,x86,x87,x88,x89,x90,x91,x92,x93,x94,x95,x96,x97,x98,x99,x100,x101,x102,x103,x104,x105,x106,x107,x108,x109,x110,x111,x112,x113,x114,x115,x116,x117,x118,x119,x120,x121,x122,x123,x124,x125,x126,x127,y0,y1
0,-25.632145021540452,-32.00692038240252,-35.000703021234365,-34.9692810832683,-33.59619015381264,-32.51562930005947,-32.428698728375906,-33.17481683755645,-34.29623572504767,-35.45024735230504,-36.458636106549186,-37.196150833932684,-37.545604377366644,-37.454361482940136,-37.03243102403175,-36.5754215568622,-36.406474942636684,-36.62977264950381,-37.05948157580622,-37.41780770451297,-37.592906172585245,-37.696226310578325,-37.86550127258443,-37.997332963004425,-37.69759311314885,-36.591558274710714,-34.76770311459001,-32.90934814514759,-31.922614461734124,-32.36036296499428,-34.12701750376464,-36.65070220710537,-39.2793096614274,-41.542101615542045,-43.174891479364824,-44.06990575993728,-44.294208534125815,-44.11957295692039,-43.93137454111898,-44.01780562864617,-44.40964255481529,-44.91743473791921,-45.31978727516138,-45.53089856683353,-45.626172346858844,-45.72773475325197,-45.85596662358439,-45.89442513062097,-45.70778926051877,-45.265207547633,-44.63440386647415,-43.9126437544086,-43.20431977558847,-42.59944327881672,-42.09968914177925,-41.59868225495,-41.0192865646211,-40.48097090068086,-40.2800601010687,-40.67381210168089,-41.68389124889215,-43.10486212782881,-44.67488317187643,-46.22322670627114,-47.69055436481826,-49.06767961475338,-50.33423151723919,-51.42795147656993,-52.254872336662864,-52.742330692856534,-52.89930149548372,-52.82368580104173,-52.64416678008519,-52.46330531649732,-52.352437261288635,-52.34943897188548,-52.43115579554552,-52.53964561372789,-52.676662762822104,-52.92664986725399,-53.347700176232955,-53.87253109526789,-54.344719201418584,-54.63919955044264,-54.745653429242275,-54.74813724439761,-54.73116999815713,-54.72015349765954,-54.718493610165176,-54.76265787240415,-54.89840801531742,-55.11763709743147,-55.35885974461479,-55.57513088089158,-55.774672659490136,-55.97917727210204,-56.168747434114344,-56.30533936062897,-56.4109651736709,-56.59107339032971,-56.96029465168235,-57.5461272010051,-58.2720644477044,-59.03248106184492,-59.77073318198758,-60.482246604266116,-61.16533046403009,-61.79646317597135,-62.36003340812894,-62.88669160805057,-63.44070439771515,-64.0624633088,-64.72736615388867,-65.35398021496279,-65.84372971331109,-66.12671337862778,-66.19625651030522,-66.11545764339859,-65.98594221898776,-65.89157206080291,-65.86303946301184,-65.90910712154235,-66.02812625477263,-66.0480221205849,-65.25522525783619,-62.15882589867184,-55.05884546347255,-43.55475430058307,108.12867531958256,-31.86682092140784
1,-5.717076838219117,-7.9879118624425685,-10.139619338329886,-12.023079082682136,-13.598943828964037,-14.891589821322306,-15.97015038763734,-16.92015458889633,-17.773539586105045,-18.45202287631938,-18.8152410520803,-18.800363611728653,-18.518734981759568,-18.21302693706746,-18.13092188097166,-18.41484084315589,-19.032943695614904,-19.761781327389212,-20.269898684526066,-20.298248699764255,-19.825586675088008,-19.088014277813407,-18.430741986812226,-18.098229005746816,-18.10692730039116,-18.28224900555044,-18.424940137828195,-18.468878764256075,-18.49257682729245,-18.591541725307213,-18.765057270409752,-18.927536457016025,-18.988540063627852,-18.90381952966157,-18.6852932919193,-18.386612543874065,-18.06424675835576,-17.740565798244578,-17.414962625144707,-17.119007706156076,-16.94936809846303,-17.016335911865966,-17.338455183311787,-17.8016782665229,-18.24048680099123,-18.551136767909785,-18.721128485863982,-18.779155114536113,-18.750066739725106,-18.65342923772932,-18.519485737613557,-18.386096273195406,-18.27463463769144,-18.182520353514093,-18.11506918695096,-18.107239750205892,-18.190646577240766,-18.355519361953725,-18.564497033486997,-18.779568059541226,-18.95760391441805,-19.05934933387213,-19.10244985028195,-19.176487796270045,-19.356024369031317,-19.606325282405788,-19.82265349681252,-19.96667536899674,-20.121839450876344,-20.398610408945594,-20.822904539635513,-21.327867168469826,-21.797729394488567,-22.095824444375705,-22.122970296093712,-21.90958074380922,-21.616543309740766,-21.41226106508594,-21.37075969372535,-21.48146053725181,-21.700696459669768,-21.975805238892242,-22.25413669694963,-22.48735656519902,-22.62296893185145,-22.60814082302014,-22.42715829585211,-22.133819910154823,-21.833715443171357,-21.627664673519828,-21.56010683305664,-21.611743492691122,-21.739369970817968,-21.91937466999856,-22.153692890679952,-22.445232873886344,-22.771695841502428,-23.08158130325954,-23.329755169543823,-23.5312628591115,-23.764636396376932,-24.100677452525343,-24.53626731084257,-25.00940779904644,-25.46078303133716,-25.864809778742607,-26.221494274274573,-26.544485164376297,-26.855476490484904,-27.183304213267213,-27.569345104101405,-28.064504528753627,-28.705175209195488,-29.48272931754977,-30.332913876717186,-31.15793423770034,-31.8766541618435,-32.47331689691059,-32.998001813803825,-33.508068064489514,-34.011465866257446,-34.487710723863806,-34.948934930549136,-35.40837829786996,-35.631850798800976,-34.824064616166474,-31.792069491980453,-25.915765991645976,-201.69702689298293,4.831042769564829
2,-27.779031957764374,-36.781983750475256,-43.654833561639954,-47.90540724926573,-49.69018613976628,-49.119198008960744,-46.279698788886925,-41.96683335292955,-38.019375406691395,-36.38802185314567,-37.65453950408165,-40.62149070628512,-43.38592780412897,-44.607557052996924,-43.81963980122694,-41.06362056786648,-36.768087074428344,-32.05559651342637,-28.736006101223307,-28.42125479431775,-31.344543668956533,-36.102191917525076,-40.62724800116408,-43.35212978981125,-43.552193785886736,-41.11543085404196,-36.558306696304065,-31.324822543258858,-27.573742389722128,-27.06986302663293,-29.980655405668774,-34.765601831403416,-39.27941790352879,-41.98362278597906,-42.31113750255158,-40.38595537638561,-36.84857095575192,-32.9397882994424,-30.309052343136038,-30.23220509403413,-32.74922909482676,-36.54937188809251,-39.77114149990778,-41.05405638663771,-40.136373055486004,-37.85300803326156,-35.675576785000494,-34.912390488886764,-35.918282707335685,-37.92044782493442,-39.643145241909274,-40.19580202532949,-39.58474646397253,-38.57833196774642,-38.0126372381354,-38.050668858841185,-38.12864955475726,-37.704372093744226,-36.99263922692642,-36.83786112206214,-37.80720893095632,-39.489854177446645,-40.857869105633,-41.339015018464224,-41.342079084028605,-41.633410090344036,-42.420947510295356,-43.293456850659574,-43.89735327824479,-44.276640888442145,-44.54005425725927,-44.62931489345148,-44.60440143336956,-44.816601560476826,-45.53572055373175,-46.59378606423586,-47.55574891308228,-48.093540755346076,-48.15012435673458,-47.92388778977504,-47.736927852348344,-47.821221117034575,-48.24660423606532,-49.023990548665374,-50.10439022168522,-51.271387074394404,-52.231976893804294,-52.897582191654855,-53.50082943382937,-54.37059018383045,-55.616220516368685,-57.07744306500493,-58.55276015998723,-59.992198046892106,-61.46120076599621,-63.00226043348133,-64.58694812693604,-66.16729788480454,-67.7300144120464,-69.31097966215631,-70.9723577169825,-72.74417280098648,-74.56060568666584,-76.25933547182484,-77.66612549392964,-78.68862914542329,-79.34181062582006,-79.7084207565904,-79.88781327033196,-79.96314858960541,-79.9898575313778,-79.99769734758391,-79.99957889517394,-79.99994505273794,-79.99999638290838,-80.0,-80.0,-80.0,-80.0,-80.0,-79.9946466968342,-79.95973877519364,-79.78246172138594,-79.08131737236306,-76.92164073497915,-71.74084580660096,-62.061846625373036,-47.9789859145898,135.4640683092077,-49.17108445134647
3,-31.11236987863918,-39.964952026579425,-45.50414471935972,-47.46537338151693,-46.74381289776247,-44.472574667926025,-41.50747862934176,-38.391033424605695,-35.47393446614238,-32.99438122379732,-31.112483609184103,-29.93429233706368,-29.522216301399787,-29.864516944355714,-30.82759388498895,-32.148869774659644,-33.53163793779561,-34.8116272727418,-36.03010799665131,-37.30758800468384,-38.66128732755371,-39.985721405496285,-41.18980969638264,-42.291359484123504,-43.37508861920867,-44.513294045787525,-45.73233948142079,-46.982170022788935,-48.0857552258212,-48.75842203774392,-48.74645903422904,-47.9734833701043,-46.56038130636402,-44.738922514516574,-42.76706012423572,-40.87280664773989,-39.2007348003611,-37.782260868274854,-36.560879121818544,-35.46107743187193,-34.469820891351965,-33.689111142496856,-33.31034976462232,-33.50258469537325,-34.28592444475634,-35.50125920255078,-36.91278225526523,-38.36440353597638,-39.86897626981054,-41.56021224550556,-43.53561852701171,-45.7103209372213,-47.808907873244884,-49.49554907255104,-50.50453710942215,-50.66584610289821,-49.901455916716536,-48.328179751228866,-46.391798264956215,-44.78658190141007,-44.09361830621389,-44.39501614677453,-45.19483735760981,-45.749023194281285,-45.566568082507104,-44.67440385061101,-43.459015835311014,-42.320400655128324,-41.499154083830426,-41.12703237269934,-41.26318413934086,-41.80428296739813,-42.443796387629206,-42.829200155956414,-42.774925989798334,-42.30970894040637,-41.5687030623391,-40.706588955969146,-39.89208127994968,-39.291557513084456,-38.99880301968855,-38.99726313782832,-39.220970229326454,-39.650188808598145,-40.32996266411802,-41.28312880214305,-42.40308430744511,-43.451891039140854,-44.19813248765792,-44.57157032443844,-44.67816055415096,-44.67685340558153,-44.67360310619281,-44.76330003699009,-45.14432657113513,-46.07705952490335,-47.62320512812689,-49.44470261952547,-50.960805236517906,-51.75871997442521,-51.843019940498685,-51.50412447185839,-51.01547771311304,-50.485837619618046,-49.92494366037349,-49.38855642384424,-49.08085400650609,-49.265435411715295,-49.95061219530732,-50.72463862907436,-51.10612303855933,-51.04010746114088,-50.857363541463364,-50.78648839681138,-50.726780330249994,-50.48194502767456,-49.98465094611473,-49.26335341663762,-48.37397302532855,-47.407335674939354,-46.445038996899875,-45.51050549303164,-44.63337593157323,-43.88227888096207,-43.08064121740422,-41.36519021903918,-37.33355841178628,-30.20847792266743,38.477370788812344,34.74402530388711
4,-11.337017655586871,-12.669980148033517,-12.481028095369433,-11.880313019097205,-12.071273481795275,-13.387231808092,-15.288710400675036,-17.024489970911304,-18.1398453951835,-18.55915687944676,-18.476234854508046,-18.19732836961811,-17.973162234956238,-17.92402794062899,-18.096256302515357,-18.499742386967466,-19.04485023720042,-19.51385968665813,-19.69415191520349,-19.560818223081622,-19.286329089158574,-19.06126467793341,-18.94930629754714,-18.93375378327589,-19.03351184127931,-19.286611516348923,-19.63757524580577,-19.941282094578145,-20.11973489547474,-20.264408333742487,-20.54515687665464,-21.02974335592636,-21.58900148395268,-21.960248975585355,-21.94690730965248,-21.6197491115583,-21.30228649555326,-21.297054953587363,-21.62636186347405,-22.061066412600326,-22.36075090732764,-22.449842913805377,-22.416359359425076,-22.410712417837964,-22.539523924967185,-22.804895131786104,-23.10770613276275,-23.301268052742877,-23.279590840125433,-23.072254333944244,-22.853424212269722,-22.802050503769323,-22.933699617855396,-23.092544946861576,-23.10781021147471,-22.94120258708127,-22.693366199375305,-22.500408583227177,-22.44397633473578,-22.54279912462311,-22.784364301978517,-23.137666606148144,-23.55192512348973,-23.96101651605258,-24.29363015786209,-24.497870132674016,-24.574524712209893,-24.580123514054517,-24.589327148588033,-24.65673624087163,-24.80411338359682,-25.02537483494327,-25.3069149933382,-25.643606691710016,-26.010842829517212,-26.328456245808173,-26.50379550084957,-26.53375781832045,-26.533636510611558,-26.636291379697198,-26.866249443095736,-27.12739681350241,-27.316976681594177,-27.440731963197866,-27.601785278019033,-27.875094765780677,-28.212600066485308,-28.495316343923694,-28.67089209274445,-28.806637338779893,-29.00342742028781,-29.29349650534451,-29.636808367623967,-29.98380980883769,-30.308142136206147,-30.593514577656336,-30.8255675930552,-31.00976714939969,-31.178538909288587,-31.354380104010662,-31.50031357432849,-31.529334510792545,-31.38849061882308,-31.13234535674985,-30.898670101521567,-30.808177345227424,-30.88472995935377,-31.055554875797988,-31.21419260172596,-31.292570386636786,-31.293940861976342,-31.264772850738925,-31.225209761618714,-31.12242343609344,-30.86739654187716,-30.431872692612764,-29.895365916681534,-29.377638352595444,-28.93890850326932,-28.57399592303295,-28.30118795739688,-28.2298683695154,-28.50292323275593,-29.12505270320764,-29.729015114300623,-29.425206670709038,-27.074807838178593,-22.151335000581632,-169.13302205587487,-3.3632680791135225
5,-27.917524036640557,-36.762392536606534,-43.45553291649931,-47.73594849634797,-50.232777564888316,-51.81163833296239,-53.166057180032304,-54.66332339263188,-56.335425357982565,-57.988753453914846,-59.376713119406794,-60.3506774573534,-60.93389250016058,-61.2676402700199,-61.475504091139115,-61.57811851939147,-61.5353712279886,-61.35790337917407,-61.16158991071468,-61.0885067925957,-61.164723779099226,-61.26732088429839,-61.255589138269116,-61.10282196462234,-60.887745381380434,-60.72876005587785,-60.75181747511426,-61.008299784233806,-61.34580737856879,-61.45023168223605,-61.09963795067843,-60.34168091900901,-59.42789059659751,-58.65810005458815,-58.26015611949621,-58.2798220477141,-58.534873759351065,-58.70618324923376,-58.44529113394157,-57.378370138826035,-55.12990040337559,-51.461419550539205,-46.39112351261548,-40.27457439957636,-34.029470081724924,-29.26891830753059,-27.709392251223825,-29.998971932952237,-35.16294727703497,-41.35087133577724,-47.06426436128011,-51.69164103709252,-55.21602847378109,-57.75656486599724,-59.40474846776009,-60.308583079581595,-60.75327238779558,-61.089952224819186,-61.580152382587116,-62.309814940891656,-63.21393738995623,-64.1430432143678,-64.93606746860814,-65.50041480786896,-65.83085674086401,-65.8840838411805,-65.38740746077579,-63.82703049024701,-60.76528117357206,-56.320387944995524,-51.423044457468116,-47.5604472344229,-46.07645532317851,-47.48081408199082,-51.26157563089783,-56.26900514815101,-61.293175904803896,-65.46078041069036,-68.35376945299078,-69.91735842691983,-70.2436437763761,-69.35917516671171,-67.1622085790149,-63.548914363537186,-58.656149755695886,-53.146212543477866,-48.344220598288906,-45.87533961891886,-46.77356177745523,-50.75420358103485,-56.384607385265596,-61.96369768231024,-66.25477285669662,-68.61918546652105,-68.83821787500708,-67.07296352470148,-64.03107776130189,-61.00582365052314,-59.43037547072152,-60.07588224832889,-62.54180602340747,-65.5157655597419,-67.5496832630876,-67.77172784822591,-66.26317301294321,-64.05384839954834,-62.6149424578532,-62.942879538778136,-64.84858995457006,-67.08579776685916,-68.26048255111397,-67.82943017554553,-66.46656014606687,-65.52044695564011,-65.94514484236832,-67.58264380988189,-69.43905318100485,-70.66273829694241,-71.24396809640001,-71.77753816554932,-72.63230078595566,-73.50029929873475,-73.76552877014478,-73.04709753410584,-71.00160542309816,-66.61456018459461,-58.35759134554525,-45.79753814167533,220.5929144099805,49.35792291168696
6,-34.238249026866434,-42.56181614858347,-46.813244828595046,-47.58296783935895,-46.67022779865872,-45.50389608478326,-44.572125299653365,-43.8339084518589,-43.206480217701,-42.67754034450222,-42.25029229525703,-41.93844088456336,-41.75848634013188,-41.622684444882594,-41.28708116570185,-40.56530142684982,-39.64711768213861,-39.07273682858098,-39.30264827866432,-40.37537740740178,-41.97336928224193,-43.659671382486565,-44.984508440895794,-45.522365732943754,-45.035008354830495,-43.685996134037495,-41.99550547459647,-40.453029895671584,-39.17469687786068,-37.97564763870585,-36.67613835980015,-35.24095859132487,-33.74584225878593,-32.39007112422972,-31.500704481105288,-31.33433929931877,-31.811205525395398,-32.557379292441496,-33.286029486066234,-34.070559808903035,-35.17684455262234,-36.67604740837209,-38.31288540959558,-39.76086188105536,-40.93832217277114,-42.02278197777816,-43.19493789342445,-44.43313424155469,-45.51946820051016,-46.16914992347599,-46.184780110488674,-45.57463792763678,-44.570039903033276,-43.55705742624978,-42.95138073328961,-42.987376736823656,-43.52109037244221,-44.08077733582724,-44.175734940329725,-43.60423866661462,-42.552773188704464,-41.45371164522781,-40.69246174863937,-40.3626687230978,-40.254067981391714,-40.051146235458134,-39.553270021424964,-38.76499886207637,-37.83777929858279,-36.950812862026936,-36.235961437132005,-35.786534145833244,-35.6879927388555,-35.96458530420725,-36.45035781179278,-36.76841040943021,-36.53941396484112,-35.665423637082405,-34.42050081262212,-33.276694247335755,-32.61918072627395,-32.555801014971074,-32.94713698744423,-33.59515635535547,-34.36704641915344,-35.13039482523483,-35.67643957237044,-35.86614760199771,-35.870817053265405,-36.128038656189254,-36.96050648003108,-38.26617426099549,-39.61803752963103,-40.635341369560905,-41.238630453251545,-41.606745785002985,-41.97609593179965,-42.50165627246568,-43.22129999522768,-44.06546603045029,-44.92275971761586,-45.73195088607989,-46.4721517777114,-47.08504282157647,-47.513439319296104,-47.81538784816089,-48.128575548903726,-48.50433759460315,-48.85208515655186,-49.0574346097836,-49.09780908868694,-49.024722054396285,-48.883409544197434,-48.69747390469733,-48.50973479561181,-48.38237967291288,-48.352960410215594,-48.44355842702311,-48.7152958951052,-49.24766344138178,-50.03303446408843,-50.95143905187428,-51.868221858896376,-52.65503616679222,-52.879221184971655,-51.37618656924457,-46.51825383828711,-37.59254295597802,21.65299586973237,59.89755002451733
7,-14.853389602206574,-20.669926677389164,-26.036355935653553,-30.620795421773128,-34.236649464751785,-36.422997612761435,-36.534799276480385,-34.34052123155732,-30.49844716735188,-26.430363918612226,-23.670204823096967,-23.11322791410589,-24.644887682248108,-27.40518116364624,-30.447037268068904,-33.207877735547825,-35.5062563024457,-37.32140100246795,-38.689861190332756,-39.72344218007926,-40.589911116478355,-41.43121173184036,-42.310138129643114,-43.21832751457244,-44.10883953507081,-44.92365218266696,-45.59803458975573,-46.05233562235965,-46.21857174003727,-46.10823472793733,-45.83120799897809,-45.51566620154006,-45.232652581353186,-45.03087387588564,-45.00842308340209,-45.27950837015585,-45.866840079069874,-46.701796109982475,-47.77471045577547,-49.231506233033116,-51.251400792748434,-53.83115189280787,-56.70882466285994,-59.46618825160885,-61.681784008334525,-63.057131183757726,-63.524185553438606,-63.30734518566662,-62.85226748815448,-62.593199748410164,-62.68633341881618,-62.9247390333714,-62.942327422318144,-62.548166372350856,-61.88657408388851,-61.30370516117893,-61.09226889440697,-61.342681361953574,-61.96109596844449,-62.778962065913134,-63.6567470826681,-64.50899079957456,-65.24342355872764,-65.70578743090968,-65.73452863001917,-65.30023743940993,-64.59087348613588,-63.93990321657907,-63.632072751527204,-63.734329243637504,-64.09196642777826,-64.48106976949131,-64.76712846742065,-64.95047703881188,-65.10447968512378,-65.28433173903275,-65.4969059235232,-65.75469639713876,-66.11713832907104,-66.62915358659018,-67.22993435458415,-67.76468695460589,-68.09797624391621,-68.20636677301904,-68.16308203160474,-68.05073395204637,-67.90986994310383,-67.76399315154922,-67.65162230681328,-67.61364313729781,-67.6697864409034,-67.82194913752355,-68.08203657933134,-68.49465213021446,-69.10811915734179,-69.89998797444143,-70.75482537271387,-71.54540195836302,-72.22862894883973,-72.85683959946613,-73.51363423650719,-74.23870958230344,-74.98223445456205,-75.61289060393378,-75.98523044136259,-76.02111185658876,-75.74700557148493,-75.27646590395791,-74.746965987636,-74.23301943855559,-73.71566110889617,-73.16720199850755,-72.67014108110592,-72.4335817716492,-72.68438140655348,-73.52387448070031,-74.84490605680584,-76.35705635479137,-77.71001616741853,-78.64180033860501,-79.05844760880183,-79.01555003980145,-78.59293966066525,-77.64425546793623,-75.42769355630213,-70.4467581807343,-61.14035600427754,-47.444685626670214,223.96175435529,-83.43306934041885
8,-18.897102096094414,-25.972873160566603,-31.707279417088145,-35.48496116108879,-37.54384477124317,-38.52544142849272,-39.01218202250371,-39.312368972245025,-39.48911497841968,-39.52880801897479,-39.46181843423544,-39.326411756164326,-39.098071064261376,-38.7311526243862,-38.26297176976454,-37.82672772779421,-37.529210472143546,-37.30148939082989,-36.87342974162253,-35.938025062030285,-34.398627318992546,-32.4756542270403,-30.57123101755136,-29.04193131817243,-28.079360990372173,-27.720339125314062,-27.892168278302247,-28.44726319125401,-29.21125068754703,-30.066330502530146,-31.032643715887968,-32.26033004860486,-33.885694822737236,-35.85457020506764,-37.91427501312522,-39.81744296691559,-41.503372724968685,-43.046173119045626,-44.47507693198364,-45.7021096180572,-46.596554690173036,-47.091953606213224,-47.25364561202633,-47.28017275105041,-47.407773093855035,-47.75002118096357,-48.20580684879934,-48.54850607414778,-48.63764216058671,-48.566338197813685,-48.603165534618256,-48.96889938074853,-49.65896484765135,-50.49528991193655,-51.339636198351705,-52.2023675915749,-53.122109166858976,-54.01327148455879,-54.714572336741675,-55.17121604785358,-55.50119224255107,-55.87084457674842,-56.350125260880915,-56.90549852748265,-57.48189657817608,-58.04056045290665,-58.52981375321284,-58.87838102136874,-59.0585643449238,-59.15641237416958,-59.36180573220114,-59.861789197609816,-60.70158310861692,-61.72355342267291,-62.655467097729385,-63.287387215743635,-63.594190342390526,-63.72323480717945,-63.88146671816246,-64.20848410850505,-64.70445103847868,-65.24354393120986,-65.66244881922539,-65.86864896778334,-65.88867507828493,-65.82612057817873,-65.78772934922529,-65.85775946764394,-66.11231599780393,-66.59647488146585,-67.26297231269784,-67.97987889958569,-68.63781430774029,-69.22203977558922,-69.75710368779032,-70.23094057019478,-70.61935048544028,-70.94420042982108,-71.25489057582962,-71.57372540679616,-71.90271319302221,-72.26630481388369,-72.69637350721045,-73.17398667502886,-73.62380355019415,-73.9747322366863,-74.20785776719316,-74.35629303309251,-74.48445094257946,-74.65707476103698,-74.89997161134923,-75.19241710243257,-75.50649622742053,-75.8413600943876,-76.21192730316112,-76.62061313413969,-77.05575542638836,-77.50723793337416,-77.96574172963456,-78.41135528952789,-78.8134009577437,-79.13212353088282,-79.24850546695497,-78.77425469862804,-76.76929229000247,-71.67734337870628,-62.040040005446386,-47.972906981920566,188.88560274435335,-81.97620955542543
9,-41.49177162707726,-52.77735260633517,-59.67916521380576,-62.301160402916814,-62.23206055622271,-61.127162033488105,-59.97770968286827,-59.10077271676502,-58.3919577681159,-57.61831579625733,-56.660862268690735,-55.56301927524393,-54.39248864915628,-53.09350050508449,-51.46790583010498,-49.24149031403629,-46.15552180167535,-42.10666380815749,-37.2904471551417,-32.17493703061256,-27.259137315217306,-22.84572197464533,-19.056564266658327,-16.03775039663068,-14.124187666153347,-13.811751105435732,-15.529545772521795,-19.300307214094254,-24.497017780920263,-29.96107219961763,-34.49823035087679,-37.3951338998839,-38.59425893765504,-38.51473787989889,-37.73084387051496,-36.70975050086996,-35.72354959812785,-34.90908885936111,-34.33122292672872,-33.96872064712409,-33.678676137134055,-33.22473712681687,-32.39531975683168,-31.145862849955787,-29.64358021704557,-28.175176204919172,-27.022759757253308,-26.41522690530961,-26.529408633003268,-27.478830697010235,-29.296421291531445,-31.89855037442812,-34.99845634249998,-38.09258873492251,-40.67374994507844,-42.51801598361772,-43.72099580558347,-44.46056624467275,-44.774245331498115,-44.543177783089135,-43.64171607285504,-42.123262438617466,-40.30982831563141,-38.708646855557845,-37.830212504602656,-38.035885988742045,-39.39704086005413,-41.5246447493749,-43.564643627375915,-44.57567770685525,-44.08843095153057,-42.38561012357147,-40.3250678851329,-38.91001492272285,-38.8800230501512,-40.48745611912025,-43.49263852965805,-47.298294462525405,-51.14583481268328,-54.38111651348254,-56.731908074597634,-58.37195978344258,-59.65152226902121,-60.7434818953578,-61.528607946526364,-61.69300773329809,-60.8282824927575,-58.587863051925346,-55.03949823353234,-50.945891896355114,-47.55037149698534,-45.958534206760476,-46.62657459624989,-49.26078909899419,-53.0485609444164,-57.015091501394565,-60.33872222467828,-62.53130219484742,-63.45773643872818,-63.21498333048028,-61.986202370529135,-60.0300865275455,-57.7561431692945,-55.65997784369849,-54.0944722758851,-53.13784067485604,-52.7166223936401,-52.80834816186841,-53.48527948833497,-54.8260418363132,-56.852699797017976,-59.479998625710564,-62.40637897610559,-65.1087383252451,-67.12479863426053,-68.40668090213167,-69.34541474844556,-70.43257226826894,-71.87796050108844,-73.44501864452056,-74.56008073308081,-74.645328690063,-73.4671604065448,-71.18113061504349,-67.84981981561062,-62.77909474279934,-54.64600341753705,-42.90838066249026,94.49301892574337,9.67409337075058
