,stab_pearson,stab_spearman,stab_kendall,stab_kl,stab_stress_n,stab_stress_s,spat_pearson,spat_spearman,spat_kendall,spat_kl,spat_stress_n,spat_stress_s,spat_np_0.01,spat_np_0.02,spat_np_0.03,spat_np_0.04,spat_np_0.05,spat_np_0.06,spat_np_0.07,spat_np_0.08,spat_np_0.09,spat_np_0.1,spat_np_0.11,spat_np_0.12,spat_np_0.13,spat_np_0.14,spat_np_0.15,spat_np_0.16,spat_np_0.17,spat_np_0.18,spat_np_0.19,spat_np_0.2,spat_nh_1,spat_nh_2,spat_nh_3,spat_nh_4,spat_nh_5,spat_nh_6,spat_nh_7,spat_nh_8,spat_nh_9,spat_nh_10,spat_nh_11,spat_nh_12,spat_nh_13,spat_nh_14,spat_nh_15,spat_nh_16,spat_nh_17,spat_nh_18,spat_nh_19,spat_nh_20,spat_trust_0.01,spat_trust_0.02,spat_trust_0.03,spat_trust_0.04,spat_trust_0.05,spat_trust_0.06,spat_trust_0.07,spat_trust_0.08,spat_trust_0.09,spat_trust_0.1,spat_trust_0.11,spat_trust_0.12,spat_trust_0.13,spat_trust_0.14,spat_trust_0.15,spat_trust_0.16,spat_trust_0.17,spat_trust_0.18,spat_trust_0.19,spat_trust_0.2,spat_cont_0.01,spat_cont_0.02,spat_cont_0.03,spat_cont_0.04,spat_cont_0.05,spat_cont_0.06,spat_cont_0.07,spat_cont_0.08,spat_cont_0.09,spat_cont_0.1,spat_cont_0.11,spat_cont_0.12,spat_cont_0.13,spat_cont_0.14,spat_cont_0.15,spat_cont_0.16,spat_cont_0.17,spat_cont_0.18,spat_cont_0.19,spat_cont_0.2
/home/eduardo/Desktop/Link to landmark-based-dynamic-projections/output/gaussians-pcadtsne-p30-l0_000010-le1-ls0_10.csv,0.18118138108471377,0.5492003790263386,0.39711922267286454,0.8711384237475325,0.7282226738458866,1.6376372378305724,-0.15646796332076457,-0.11935882157792103,-0.07519606701212432,0.4282744649101912,0.7631264979147758,2.3129359266415177,0.12633500000000003,0.21176249999999963,0.29246833333333333,0.36741125,0.4351569999999996,0.49689583333333254,0.5524364285714277,0.6015762499999993,0.6427552777777773,0.6609145000000013,0.6140877272727238,0.5750737500000007,0.5431634615384623,0.5169608928571425,0.4959373333333321,0.47813374999999914,0.4636807352941197,0.4523109722222216,0.443211842105263,0.4361642499999994,0.7289999999999962,0.7250999999999996,0.7233166666666654,0.7221624999999987,0.7210199999999991,0.720174999999999,0.7194142857142825,0.7186187500000014,0.7184944444444439,0.7181899999999968,0.7176954545454528,0.7174333333333363,0.7171999999999943,0.7169571428571406,0.7166733333333318,0.7165187499999992,0.716288235294115,0.716072222222222,0.7160842105263149,0.7159550000000023,0.8749005013962936,0.869946431425625,0.868373901544907,0.8677991593508911,0.8671759751284129,0.8661471306219658,0.8645808298407376,0.8624233850170503,0.8591179608750121,0.8521838103854075,0.8233361105665823,0.7992310105977432,0.7789231266279543,0.7618900487269931,0.7473054300311929,0.7347431136887134,0.7238777927847876,0.7142655418522325,0.7059577833618674,0.6985756737227582,0.8184699339933994,0.8247717800979635,0.8305941529196124,0.8354165918462357,0.839190888888889,0.8418471196299349,0.8434365199776475,0.8435218329070757,0.8398357720600046,0.8229437502206531,0.796236400528193,0.7730188775795466,0.7545377496594738,0.7391524779541446,0.7270352202861138,0.7156413973552155,0.7058543011867385,0.6976349921967188,0.6904671144677013,0.6840590990532334
/home/eduardo/Desktop/Link to landmark-based-dynamic-projections/output/gaussians-pcadtsne-p30-l0_000010-le1-ls1_00.csv,0.3277003388377965,0.6828342584285009,0.5139567877227748,0.7299880204318073,0.6435538173071669,1.3445993223244066,-0.17288597831145552,-0.11306276791465121,-0.07419606988290768,0.44155892959160337,0.8832473077870682,2.345771956622901,0.12920999999999988,0.22324249999999962,0.3118274999999998,0.39277250000000047,0.4662095,0.5322470833333326,0.5915424999999997,0.6445709374999986,0.6917708333333328,0.7225772500000006,0.6690761363636368,0.6240847916666655,0.5874665384615382,0.5575955357142856,0.5331360000000004,0.5133042187500002,0.4967439705882327,0.48321486111111145,0.47249065789473643,0.46416724999999903,0.7732500000000004,0.7730999999999947,0.7719166666666584,0.771524999999999,0.7711699999999937,0.7702833333333258,0.7699785714285743,0.7695375000000002,0.7692444444444432,0.7691149999999909,0.7688863636363543,0.7686749999999974,0.7683653846153828,0.7681928571428552,0.7681166666666562,0.7678843749999993,0.7676558823529311,0.7674666666666651,0.7673526315789501,0.7671974999999965,0.8968683790302107,0.8945154749935549,0.8945382477961072,0.8949366789704708,0.8952613992971074,0.8953974919849778,0.8950184538777792,0.8941622554347826,0.8926061835469467,0.8883569416004707,0.8565039591331102,0.8302388730049811,0.8082293073577557,0.7896814921087145,0.7738754256211682,0.7602125037018757,0.7483143929072134,0.7379668153096569,0.7289096305296294,0.7208611588960344,0.845888640517898,0.8531262335653519,0.8592790228681155,0.8641922748736366,0.8680611440929982,0.8707397579463223,0.8722921346744901,0.8724711942313157,0.8700820343066397,0.8569490583995293,0.8273602988102045,0.8015316121530954,0.7816637460271944,0.7649297098991543,0.7510437464773583,0.7390806690111879,0.7284710139604684,0.7184250136081611,0.7093335221185176,0.7015849163093962
/home/eduardo/Desktop/Link to landmark-based-dynamic-projections/output/gaussians-pcadtsne-p30-l0_000010-le1-ls10_00.csv,0.6375696913487781,0.7434613566958685,0.5596216950324401,0.46356390695895006,0.4313770187033376,0.7248606173024438,-0.0930136029899598,0.03972059105251601,0.02616489689323757,0.36245617608293584,0.7416716523945552,2.1860272059799173,0.1570399999999998,0.26255249999999974,0.36072583333333275,0.44989062500000043,0.5274465000000003,0.5965779166666669,0.6582057142857143,0.7146531249999996,0.767644444444444,0.8091072499999972,0.7491177272727259,0.6982364583333325,0.6562184615384632,0.6220519642857145,0.5936338333333332,0.5697662499999991,0.5500626470588212,0.533784166666667,0.5204739473684217,0.5094526249999999,0.8637000000000051,0.8647000000000081,0.8638500000000034,0.8636624999999994,0.8631400000000127,0.8626583333333414,0.8623357142857151,0.861974999999999,0.8618499999999993,0.8618150000000105,0.8616454545454637,0.8615541666666675,0.8614538461538522,0.8614000000000004,0.8613933333333438,0.8612250000000006,0.8613000000000106,0.8611500000000016,0.8610289473684265,0.8610674999999998,0.9377616527037318,0.9375570140500129,0.9392703085449943,0.9410948809523809,0.942669627466883,0.9437329307502059,0.9442646247954338,0.9442851586032963,0.943602569785744,0.9404721746101794,0.9077457609790629,0.879806164989326,0.8561124944440461,0.8360377452177452,0.8187450941163817,0.8037890542736097,0.7907436469995853,0.779336011381371,0.7692601518749655,0.7603001045016077,0.8980793361259204,0.9051055620005156,0.9107897241860871,0.9153071212423518,0.9187281416599079,0.9211477379316662,0.9226105767772322,0.9229702236075589,0.9214983442549227,0.9134005675198587,0.8821675882817391,0.8544756081630579,0.832356816378713,0.8133925192194636,0.7972129025492094,0.7826378364593617,0.7699428480737712,0.758338796772106,0.7484375373244234,0.7395810340300107
/home/eduardo/Desktop/Link to landmark-based-dynamic-projections/output/gaussians-pcadtsne-p30-l0_000100-le1-ls0_10.csv,0.8498106231244189,0.8694116222286368,0.6786761116358316,0.16187110366505242,0.28840274769562657,0.300378753751162,-0.1339975585825566,0.0632253883808089,0.058598305277823164,0.4277445102303097,1.3711486242475979,2.267995117165114,0.14274999999999985,0.25392750000000014,0.3561658333333325,0.4468318749999999,0.5287794999999997,0.6029458333333331,0.6710485714285712,0.7349671875000006,0.7973777777777764,0.8562082499999971,0.7885993181818161,0.7333087500000008,0.6877661538461541,0.6501389285714283,0.618990333333334,0.5927274999999993,0.5703216176470589,0.5517738888888882,0.5354492105263161,0.5217224999999993,0.8824500000000114,0.8825750000000089,0.882700000000006,0.8828000000000015,0.8826400000000106,0.8823583333333413,0.8825714285714253,0.882393749999998,0.8823611111111099,0.8824400000000082,0.8825090909090988,0.8824375000000014,0.8824923076923116,0.8824178571428544,0.882396666666675,0.8824250000000013,0.8822764705882427,0.8823416666666667,0.8824131578947456,0.8823399999999985,0.9443136100533132,0.9452173034287187,0.9475839914462775,0.949951381018888,0.9519835574479589,0.9535130241824676,0.9544298177862931,0.9547305679880648,0.9543805208634482,0.9513630686966756,0.9149440919981485,0.8842388151875571,0.8582857740100845,0.8362190172070727,0.8172572740669033,0.8007297528998025,0.7862730326007543,0.7735876379848502,0.7624224344176286,0.7525478205609145,0.9052075755267834,0.9127274110595515,0.9189874932355767,0.923950131018888,0.9279473938902406,0.9310877109095905,0.9333707987067417,0.9347760482381358,0.9353757312646559,0.9330679651368049,0.8995171129080562,0.8712637248398902,0.8466227178770284,0.8253235303893638,0.8073553301064859,0.7903176322392235,0.775879956065004,0.7631230330973315,0.7492768753336646,0.7358472949267594
/home/eduardo/Desktop/Link to landmark-based-dynamic-projections/output/gaussians-pcadtsne-p30-l0_000100-le1-ls1_00.csv,0.821069320878021,0.9258777135181412,0.7592512670457,0.1847320007454249,0.40486467020952877,0.35786135824395804,0.041736191133323976,0.22320854408460455,0.1673577790247906,0.3081133556455738,1.1647162568463967,1.916527617733344,0.14291750000000028,0.25869499999999984,0.3629991666666658,0.4562118749999998,0.5409939999999992,0.6168575000000016,0.6870935714285721,0.754266562499999,0.8192872222222216,0.8802182499999985,0.809359545454543,0.751010416666667,0.702819038461538,0.6633505357142867,0.6303785000000001,0.6019232812499994,0.5781645588235307,0.5583634722222228,0.5414838157894736,0.5268682500000008,0.9217500000000144,0.9224000000000184,0.9224000000000123,0.9228124999999993,0.9231700000000194,0.9230166666666815,0.9228357142857144,0.9227812499999974,0.9227499999999964,0.9227600000000173,0.9228954545454704,0.9228541666666625,0.922826923076933,0.9228750000000049,0.9228066666666835,0.9228125000000013,0.9227705882353104,0.9227500000000015,0.9227552631579019,0.9226674999999953,0.9494286151307438,0.9508306838102604,0.9534473527101335,0.9558582199388137,0.957940188158962,0.959433117156728,0.9602404949507045,0.9604002898550723,0.9598248972085702,0.9565168709914682,0.9193180888398812,0.8881998409067805,0.8619188843883672,0.8397188470582915,0.8205809824674626,0.8040285728241198,0.7895859484035308,0.7769633588367401,0.7657928833232083,0.7558887063236871,0.9234453325717187,0.9308758094869812,0.9369641223706031,0.9419699541101355,0.9460434241686944,0.9491010916460567,0.9513844026663474,0.9527490965117928,0.9532273934341975,0.9508844835245661,0.9142752962236924,0.8824601271983328,0.8567254753028891,0.8361285736896849,0.815946773367753,0.7974802355832511,0.7823529456193354,0.7681576244718511,0.754896258537214,0.7428295455519829
/home/eduardo/Desktop/Link to landmark-based-dynamic-projections/output/gaussians-pcadtsne-p30-l0_000100-le1-ls10_00.csv,0.74456343081908,0.9187845165127095,0.742197554185109,0.24078503598308842,0.32385921244461724,0.51087313836184,0.40453589680086044,0.4907454896945752,0.36196652294260073,0.18749623219931663,0.2858764872506791,1.190928206398273,0.14013499999999995,0.24232499999999996,0.33678916666666636,0.42299312499999975,0.4996285000000008,0.5679833333333335,0.6298396428571411,0.6882324999999988,0.7443983333333343,0.7964245000000004,0.7388090909090944,0.6906677083333325,0.6507051923076937,0.6179341071428557,0.5905071666666669,0.5676770312499992,0.5487832352941164,0.5329075000000001,0.5194099999999999,0.5090279999999995,0.8402000000000031,0.838925000000001,0.8387166666666641,0.8384999999999988,0.8380700000000032,0.837975000000001,0.8375000000000007,0.8373249999999985,0.8370944444444433,0.8369650000000002,0.8369681818181813,0.8369249999999974,0.8369884615384647,0.8367678571428576,0.8366566666666669,0.8365062500000015,0.8365735294117648,0.8366527777777794,0.8365500000000065,0.8365999999999992,0.931354418634171,0.9323224593967516,0.9348403657152831,0.9372879881617451,0.9395640340632603,0.9414291893377301,0.9428361148365466,0.9437870085606705,0.9441452820339853,0.9421512861135628,0.9090869913419913,0.8810338947341668,0.8573333704925084,0.8372531043956044,0.8200095773905561,0.8051089175098717,0.792096293169836,0.7807171109778843,0.7706788489718526,0.7617597847445516,0.8887403198781415,0.8947315964166023,0.8998183416252072,0.9040108845437616,0.9071031197620979,0.9094643807822662,0.9108704712010537,0.9114872280832623,0.911181409848704,0.9082487702265372,0.8781876590704891,0.8517384821337807,0.8294189680263818,0.8108937763984987,0.7945110141981283,0.7802592251768675,0.7678817867227454,0.7564177862471928,0.7459467810791407,0.737242594051447
/home/eduardo/Desktop/Link to landmark-based-dynamic-projections/output/gaussians-pcadtsne-p30-l0_001000-le1-ls0_10.csv,0.8407487641481812,0.9504270020465855,0.8037084652851084,0.19328940421806934,0.41552609123424045,0.31850247170363727,0.2530302943848174,0.3938151186520111,0.2888225910017569,0.2491673239734415,0.33839180996627805,1.4939394112303557,0.1241349999999999,0.22900375000000048,0.32427166666666657,0.41153249999999986,0.49279550000000005,0.5688179166666663,0.6413546428571424,0.7120321875000004,0.7811863888888905,0.8443690000000001,0.7815036363636313,0.7288312499999994,0.684850000000001,0.6481319642857145,0.6169513333333339,0.5912276562499986,0.5692919117647057,0.551564027777778,0.5359768421052628,0.5224813749999998,0.8900000000000085,0.8870500000000099,0.8873666666666696,0.8874874999999994,0.8876400000000128,0.8874583333333428,0.8872571428571463,0.8872062499999989,0.8869388888888884,0.8869550000000104,0.8869045454545544,0.8867916666666641,0.8867692307692373,0.8866142857142892,0.8864566666666753,0.8864374999999992,0.8863352941176565,0.8863694444444457,0.8863473684210599,0.8863474999999973,0.9408042840822544,0.9431746049239497,0.9465090481801519,0.9495701087390265,0.9523261997837255,0.9544757245580288,0.9559280543248313,0.9566969433788008,0.9566759289775465,0.9540155039717563,0.9185702043344495,0.8885985826471485,0.8632516316581835,0.8417663772441552,0.823335643325804,0.8073830346125369,0.7934487375352961,0.781249511914278,0.7704782815117542,0.7609098980886031,0.9070417047473978,0.9133571687290539,0.9189113476477264,0.9235761758446394,0.9272448915923223,0.9302814381240267,0.9324166882209717,0.9337391554774085,0.9339570114997912,0.9314318649602825,0.9005409409458466,0.8732937496187863,0.8484982528018735,0.8273687306109527,0.8090165621168118,0.7917798009213557,0.7772138508777127,0.7648436232918426,0.7527628979584323,0.7415912135584136
/home/eduardo/Desktop/Link to landmark-based-dynamic-projections/output/gaussians-pcadtsne-p30-l0_001000-le1-ls1_00.csv,0.8443313159521244,0.9502546832188932,0.8019119333790148,0.17844080379137664,0.37983206338434883,0.31133736809575113,0.3399295039478803,0.4378670602858819,0.3222108704482712,0.2165956102862614,0.29663971224210595,1.3201409921042357,0.12128999999999972,0.22354499999999983,0.316661666666667,0.4023512499999989,0.4830815000000006,0.5587025000000001,0.6319028571428575,0.7023440625000005,0.7718249999999993,0.835073500000001,0.7736349999999971,0.7220714583333333,0.6790596153846148,0.6432878571428582,0.6127041666666664,0.5874132812499997,0.5661994117647053,0.5486169444444432,0.5337496052631581,0.5207077500000002,0.8789000000000071,0.8767250000000081,0.8767833333333354,0.8769499999999976,0.87717000000001,0.8774916666666729,0.8775714285714302,0.8774187499999977,0.8772666666666669,0.8770050000000078,0.8769954545454614,0.8769499999999975,0.8768730769230833,0.8767500000000035,0.8768233333333406,0.8767468750000008,0.8768176470588311,0.8767111111111112,0.8766342105263225,0.876494999999998,0.9375386024371668,0.9400732701727248,0.9435468181024701,0.9467405074487895,0.9496459683698297,0.9519376550334343,0.9535425306350536,0.9544646584612106,0.9545958088400628,0.9521122527213886,0.9171499985025457,0.8875509421063331,0.8625088498578155,0.8412780549902772,0.8230523478541464,0.8072760984287595,0.7935076468613628,0.7814511930455634,0.7707988648036672,0.761339509914255,0.9025618989591268,0.9090301624129932,0.9143945587850222,0.9188888986432561,0.9226888783454988,0.9255736644682605,0.9277067177583523,0.9289032143364592,0.9290403822556295,0.9265436476904971,0.8965752568814832,0.8701686982819965,0.8455595229048678,0.8248203584995253,0.806474168118748,0.78987952698256,0.7754448125111073,0.7629590952951923,0.7515849958579554,0.7406350765451946
/home/eduardo/Desktop/Link to landmark-based-dynamic-projections/output/gaussians-pcadtsne-p30-l0_001000-le1-ls10_00.csv,0.8443826612234604,0.9484750919685446,0.7978691779172917,0.1674513320919968,0.39857990575852364,0.3112346775530792,0.4425812680909411,0.4904810705865897,0.36177769925072584,0.1909529414502661,0.29528130919840023,1.1148374638181124,0.1177774999999999,0.21718125,0.307459166666666,0.3909074999999999,0.4698445000000004,0.5439325,0.615163214285714,0.6844359375000014,0.752578055555555,0.8145470000000007,0.7556438636363647,0.7061979166666666,0.6652644230769226,0.6310373214285698,0.6020074999999998,0.5782617187499997,0.5580524999999981,0.5415855555555549,0.5274036842105257,0.5152482499999999,0.8599500000000044,0.8589250000000032,0.8581333333333311,0.8576999999999992,0.8574600000000078,0.8570166666666712,0.8567642857142872,0.8564749999999994,0.8563111111111101,0.8563300000000025,0.8561454545454558,0.8557999999999977,0.8554269230769269,0.8552357142857162,0.855053333333337,0.8549531250000005,0.8548205882352978,0.8547222222222247,0.8545657894736894,0.8545299999999986,0.9296479017517134,0.9324577184841456,0.9361719280789037,0.9395873387204043,0.9427350646120572,0.9452818952093066,0.9471961850876142,0.9484616867362888,0.9489565009154861,0.9468896253309798,0.9127976902447656,0.8839185433821287,0.8594860482232896,0.8387786971464747,0.8210097073249436,0.8056330206276735,0.7922067094168987,0.780447973716265,0.7700695923307744,0.7608457148981779,0.8934042409240923,0.8996227442639857,0.9048484716767042,0.9092985448257516,0.9128904714787781,0.9156725913712558,0.917625044904802,0.9186617867291844,0.9187586963155697,0.9162910510444249,0.887586027389801,0.8620292956439972,0.8391124076994767,0.8189772014199793,0.8018065395288803,0.7858366183366238,0.7719132988764489,0.760452995984165,0.7491998380000369,0.7390035770811003
/home/eduardo/Desktop/Link to landmark-based-dynamic-projections/output/gaussians-pcadtsne-p30-l0_010000-le1-ls0_10.csv,0.8426361946959241,0.9464644544808575,0.793327876240038,0.16435443327329485,0.4007932978221459,0.3147276106081519,0.42962305393586103,0.48462474709074393,0.35697571968325575,0.19609681935506235,0.29658350404236317,1.14075389212827,0.11014499999999984,0.20579874999999995,0.2921641666666657,0.37371000000000004,0.45235749999999936,0.5276400000000006,0.6018117857142861,0.6739499999999983,0.7447438888888885,0.8083325000000008,0.750981363636365,0.7024706250000006,0.66217,0.6289533928571418,0.6004559999999992,0.577225625,0.5573638235294105,0.541251666666667,0.5271842105263146,0.5152083749999998,0.8547000000000041,0.8536250000000023,0.8526666666666652,0.8521249999999979,0.8520200000000063,0.8517833333333367,0.8514214285714292,0.8512062500000005,0.8507444444444434,0.8503900000000028,0.8503545454545471,0.8502374999999993,0.8501461538461575,0.8500892857142868,0.8497500000000034,0.8496343750000012,0.849467647058827,0.8494027777777777,0.849213157894742,0.8491724999999984,0.9272035123127698,0.9305592755864913,0.9346876320153618,0.9384539445331205,0.9419082443903758,0.9447208388293488,0.9468487412685107,0.9482729216396704,0.948877371109184,0.9468892871432775,0.9129908020909907,0.8842506531462844,0.8599235813797883,0.8392949924252703,0.8215880874475637,0.8062589365333992,0.792868180301325,0.781135030261505,0.770777731264152,0.7615711609503395,0.8902288233054076,0.8962417659190514,0.9014394859038142,0.9059308685820697,0.9095046280075698,0.9124020532197491,0.9144693455873549,0.9155901514990052,0.9156962810381936,0.9131074761694616,0.8859026717307849,0.8607056202348277,0.8378099592563386,0.8183152934925157,0.8014061605894375,0.7854929683900955,0.7719897352052604,0.7605759264968978,0.7494867609211908,0.7391689317613434
