id,t0d0,t0d1,t1d0,t1d1,t2d0,t2d1,t3d0,t3d1,t4d0,t4d1,t5d0,t5d1,t6d0,t6d1,t7d0,t7d1,t8d0,t8d1,t9d0,t9d1,t10d0,t10d1,t11d0,t11d1,t12d0,t12d1,t13d0,t13d1,t14d0,t14d1,t15d0,t15d1,t16d0,t16d1,t17d0,t17d1,t18d0,t18d1,t19d0,t19d1,t20d0,t20d1,t21d0,t21d1,t22d0,t22d1,t23d0,t23d1,t24d0,t24d1,t25d0,t25d1,t26d0,t26d1,t27d0,t27d1,t28d0,t28d1,t29d0,t29d1,t30d0,t30d1,t31d0,t31d1,t32d0,t32d1,t33d0,t33d1,t34d0,t34d1,t35d0,t35d1,t36d0,t36d1,t37d0,t37d1,t38d0,t38d1,t39d0,t39d1,t40d0,t40d1,t41d0,t41d1,t42d0,t42d1,t43d0,t43d1,t44d0,t44d1,t45d0,t45d1,t46d0,t46d1,t47d0,t47d1,t48d0,t48d1,t49d0,t49d1,t50d0,t50d1,t51d0,t51d1,t52d0,t52d1,t53d0,t53d1,t54d0,t54d1,t55d0,t55d1,t56d0,t56d1,t57d0,t57d1,t58d0,t58d1,t59d0,t59d1,t60d0,t60d1,t61d0,t61d1,t62d0,t62d1,t63d0,t63d1,t64d0,t64d1,t65d0,t65d1,t66d0,t66d1,t67d0,t67d1,t68d0,t68d1,t69d0,t69d1,t70d0,t70d1,t71d0,t71d1,t72d0,t72d1,t73d0,t73d1,t74d0,t74d1,t75d0,t75d1,t76d0,t76d1,t77d0,t77d1,t78d0,t78d1,t79d0,t79d1,t80d0,t80d1,t81d0,t81d1,t82d0,t82d1,t83d0,t83d1,t84d0,t84d1,t85d0,t85d1,t86d0,t86d1,t87d0,t87d1,t88d0,t88d1,t89d0,t89d1,t90d0,t90d1,t91d0,t91d1,t92d0,t92d1,t93d0,t93d1,t94d0,t94d1,t95d0,t95d1,t96d0,t96d1,t97d0,t97d1,t98d0,t98d1,t99d0,t99d1,t100d0,t100d1,t101d0,t101d1,t102d0,t102d1,t103d0,t103d1,t104d0,t104d1,t105d0,t105d1,t106d0,t106d1,t107d0,t107d1
brushing_teeth-51,4.363975,-2.3880134,5.1762695,-3.095877,4.811711,-2.2218616,5.96513,-0.66696393,9.3104105,2.1235397,7.9923997,0.6448043,6.4511967,0.82408315,5.91568,0.38591364,4.615449,0.2367998,8.096016,-0.036200408,7.8649826,0.047735766,9.753943,1.2439715,9.875187,1.0732951,10.085549,1.1455582,11.451685,0.9619785,13.238295,1.1709403,14.362506,1.212546,13.333175,0.5566428,14.318178,1.2261541,14.513876,2.131767,12.796731,0.41415095,14.52544,-0.60681665,14.836346,-2.3284302,14.29178,-3.2379441,14.088684,-2.911944,16.178013,-2.6265435,17.181118,-3.6313343,18.723577,-4.332448,20.432604,-5.836983,20.625015,-6.705486,20.637669,-8.370653,20.161077,-8.383384,22.344322,-8.263432,22.640484,-8.531732,22.264076,-9.740996,26.74071,-7.804308,27.13353,-7.015598,27.433746,-7.330097,29.196867,-6.677291,28.251013,-6.1448784,25.841513,-6.0063095,27.471554,-5.0713477,27.00824,-6.469729,25.769922,-7.7765083,27.033537,-7.682746,26.99409,-8.302027,28.92971,-6.7618217,29.174603,-6.813945,27.815693,-7.457861,26.121204,-8.505327,23.458529,-9.840705,22.701027,-8.537343,22.107285,-10.483096,23.875761,-9.8456,25.941463,-9.769855,26.20518,-8.968609,26.03338,-9.886642,26.240086,-10.6556635,25.7137,-10.841552,23.89009,-9.987895,22.477415,-11.728065,21.563732,-10.753532,21.556108,-12.201672,21.299242,-13.393791,23.239725,-12.231484,22.608643,-12.360033,25.121782,-14.897882,23.39028,-14.949799,22.782894,-18.536777,22.857956,-18.879967,25.550749,-17.883186,24.431818,-20.379343,25.22063,-17.402231,26.032507,-17.720116,25.510864,-17.931715,24.726753,-21.365788,26.253662,-21.405037,26.409157,-21.209457,25.440645,-23.308949,25.017624,-23.956726,23.822205,-25.231697,22.88838,-26.16145,23.596474,-23.207853,23.952745,-23.68592,23.507782,-23.756319,25.002487,-21.991808,25.232487,-20.990124,26.33389,-22.488546,25.882538,-24.001192,23.737932,-23.268015,22.829485,-22.680023,24.11026,-23.26173,23.373482,-23.68876,22.564835,-23.05356,22.727608,-22.854576,23.77218,-25.025106,26.873415,-25.954914,24.724064,-24.025139,24.685583,-25.197533,25.19117,-24.906477,24.401255,-24.980865,24.30166,-24.213427,24.124907,-24.245127,24.12884,-23.699066,24.06494,-22.343767,26.280039,-19.074226,27.299318,-18.248537,23.278147,-18.689913
brushing_teeth-52,3.4367673,-2.3079426,4.050775,-2.8746397,3.0346565,-2.5966911,4.348658,-0.7470742,7.5503063,2.6074448,6.6795473,1.778194,4.5803275,2.0538442,4.4196815,2.2442174,3.92789,2.158729,6.1606545,1.3512031,6.2739224,1.9156244,7.889481,3.1938722,7.7672095,2.8372576,9.157892,3.8511436,10.201232,3.8171525,11.294839,3.8322299,12.234558,3.0192862,11.835945,3.2677991,12.45129,2.7950785,13.075148,3.9030058,11.206481,1.6264791,13.201775,-0.17329493,14.045624,-1.1428549,13.795271,-2.140498,13.079234,-1.945525,15.32702,-1.7248336,16.046692,-2.6363292,17.4786,-3.1707733,19.183136,-5.0374465,19.40368,-6.230395,18.657436,-8.6442375,19.275108,-9.920722,22.063131,-9.08032,21.793951,-8.561019,21.59185,-9.760244,26.247366,-7.9893813,26.818289,-7.2636204,26.77065,-7.4356318,28.508188,-6.480544,27.654451,-6.3060684,25.165148,-6.2998056,27.249517,-4.550383,27.26505,-6.039785,26.412092,-7.7244153,27.667181,-7.6531916,27.605453,-7.8392744,29.367851,-6.112749,29.987734,-6.6833572,28.058054,-7.1479588,26.576315,-8.177076,23.710648,-9.864325,22.93917,-8.569505,22.508652,-10.714018,24.147223,-9.959539,26.286924,-9.715524,26.223291,-8.480648,25.320784,-8.975018,25.030481,-9.65175,24.414888,-9.567882,22.929531,-8.846785,21.670849,-10.615052,20.022682,-9.784538,20.957973,-10.195167,22.197334,-11.403397,22.000067,-10.65074,21.35734,-11.364745,22.778286,-13.292025,20.846493,-12.674379,20.812826,-15.355608,20.099758,-16.697561,22.906067,-16.544285,22.858345,-19.077946,23.12675,-17.917786,23.551804,-18.47449,23.329449,-17.985826,21.590374,-19.580141,22.747911,-20.49718,22.52776,-20.53711,21.41457,-21.237019,21.946566,-20.604303,21.839901,-21.18479,20.592844,-22.138494,20.475092,-22.814074,21.466587,-22.74747,21.636683,-22.305315,22.978199,-21.297647,23.286148,-21.274834,24.200321,-22.81198,23.704025,-23.772375,22.160322,-24.67038,22.279211,-23.333385,23.751574,-23.701246,23.090446,-24.162762,21.999184,-24.421692,21.13844,-25.057646,21.907852,-27.676102,23.84662,-27.521202,22.496439,-26.93154,23.946772,-28.640844,24.918257,-28.205378,24.25974,-27.557829,24.136469,-26.393858,25.007929,-25.745277,24.483217,-25.61637,24.970957,-23.879782,26.179277,-21.711327,26.82503,-20.74226,25.134787,-20.676006
brushing_teeth-214,1.7904674,-0.5744286,2.299794,-1.9858822,1.4773191,-1.6727971,3.0141158,-0.0050463215,5.257999,3.678868,4.7725806,3.3170407,3.1388257,4.357408,4.1221743,4.750113,3.679642,4.036689,5.5426145,2.7475908,5.9401126,2.8165631,7.358405,3.6354816,7.394773,3.3710468,8.755819,4.382417,9.719971,3.9613702,10.993801,3.7930064,11.924237,2.711638,11.3501005,2.6402202,11.838321,1.9615166,12.390019,3.2872138,10.7637,1.208681,12.317133,-0.4835603,13.258331,-1.0085734,13.060672,-1.8206033,12.171712,-1.9460878,14.421991,-2.181793,15.3172655,-2.8841648,16.733675,-3.8351314,18.14286,-5.4075584,18.614985,-6.449238,18.371141,-8.065791,18.657263,-9.372988,21.288433,-8.956833,21.358616,-7.6344285,21.11361,-8.865431,25.308748,-8.193138,25.585653,-7.148553,25.135433,-6.499431,27.500767,-6.606121,26.649261,-5.9533114,24.332573,-5.8802752,26.124828,-3.4545712,26.346573,-5.0403934,26.244003,-5.947212,26.926788,-6.2010684,26.710062,-6.6030273,27.54087,-4.644656,28.305037,-4.354737,26.71013,-5.049399,25.892546,-6.134013,24.085018,-7.5102344,23.849724,-6.5775595,23.54378,-8.195315,24.270756,-7.2184186,25.412252,-7.414336,24.588835,-7.5368056,23.711235,-8.148653,23.290476,-9.183656,22.659933,-8.812564,21.439068,-8.033578,21.333817,-9.605756,20.246021,-8.946741,21.280962,-9.931375,23.066744,-10.875744,22.313515,-9.544159,21.491257,-10.23806,22.71271,-12.057315,21.003288,-11.986418,21.639006,-14.838039,20.698366,-16.295462,24.115547,-15.958588,23.585907,-18.661243,23.384296,-17.024899,24.002184,-17.702387,24.049059,-17.433165,23.272158,-19.618708,24.610275,-19.85133,24.901741,-20.07497,23.982466,-22.110193,25.18974,-21.861938,24.509983,-23.454275,22.8366,-24.293901,23.03109,-22.207588,24.11762,-22.707275,24.130606,-22.932821,25.396357,-21.344273,24.811533,-20.232698,25.928825,-21.84557,26.048275,-23.487375,23.708334,-22.488586,23.370874,-21.729662,24.30485,-21.930195,22.736769,-22.674768,21.423601,-22.676357,20.844988,-23.156622,22.090307,-25.190987,25.051624,-25.672037,22.60968,-24.541178,23.509186,-26.632492,23.842905,-26.775024,23.272892,-25.983095,23.206736,-25.122852,23.803986,-25.810736,23.549828,-24.80803,24.012072,-23.976711,25.310522,-21.443312,25.703238,-20.411673,24.454964,-21.324629
brushing_teeth-292,1.0068862,-0.23880577,0.6505167,-0.90765715,-0.109186836,0.3474457,0.5213402,1.1449783,3.3590066,4.035001,2.6744146,4.381467,2.3453364,5.6863465,4.0998907,5.5725865,3.4462342,4.0551825,5.4128475,3.0346954,5.721753,2.7952302,7.330748,3.4534914,7.27162,2.8502002,8.650632,4.23079,9.644353,3.8789425,10.955436,3.7339942,11.806047,2.719815,11.205684,2.752276,11.628396,2.3520966,12.300033,3.6812925,10.599874,1.7398266,12.593078,0.5734286,14.742643,-0.1829631,14.295396,-1.4195142,13.736421,-1.1419848,14.957784,-1.1004449,15.757391,-2.030654,16.986473,-3.0873363,18.801489,-4.7195954,19.125378,-5.280427,19.231989,-7.0250697,18.337303,-7.6628385,20.090385,-7.076682,21.317863,-6.4812207,21.324413,-7.855099,24.784885,-7.18648,24.67548,-6.5022326,24.367754,-5.358774,25.393984,-4.8029323,25.679977,-4.860577,23.411076,-4.9429674,25.53181,-2.8563578,26.10467,-4.696554,26.154865,-5.3766384,26.789478,-5.947891,26.661402,-6.536627,27.45651,-4.4975305,28.262283,-4.127793,26.72701,-4.6471286,25.59479,-5.644596,23.923813,-7.268698,23.935856,-6.2514324,23.650381,-7.9420986,24.572292,-7.092679,25.762342,-7.290479,24.704336,-7.0515876,23.823734,-7.5669856,23.86439,-8.360346,23.309025,-8.129203,22.84907,-7.700193,22.322594,-9.788387,21.253563,-9.215624,21.965057,-10.734288,22.322922,-13.594954,23.963339,-11.577774,21.922642,-10.336337,23.022648,-11.984236,21.1511,-11.557265,21.730219,-14.490121,20.694,-15.866794,23.722769,-15.634788,23.220818,-18.178345,22.925411,-16.741957,23.578346,-17.247683,22.891016,-17.25606,22.109,-18.945425,23.765999,-19.59695,23.204391,-19.863827,23.211966,-21.811598,24.63017,-21.598381,24.482409,-22.89575,22.401346,-23.30303,21.32231,-21.95596,21.354189,-21.414934,21.811625,-21.187628,23.413244,-20.31932,23.117332,-20.04845,25.545235,-21.844482,25.862381,-23.076803,23.472334,-22.493235,23.218937,-21.565563,23.967857,-22.179245,22.376318,-22.966179,21.161718,-23.088392,20.733038,-23.46658,22.014023,-25.495022,24.83279,-25.645416,22.62668,-24.524837,23.356798,-26.524052,23.999252,-26.700808,23.132019,-26.107716,23.016953,-25.409323,23.98195,-26.169147,23.23137,-25.08128,23.68005,-23.8476,24.883957,-21.116764,25.67421,-19.8256,23.959072,-20.677877
brushing_teeth-293,3.6936085,-2.895357,4.9080167,-3.666288,4.5829706,-2.9620404,4.5969205,-1.3532904,7.679186,2.1834238,6.631502,1.1259682,4.9763317,1.191812,4.5393662,1.0544374,3.4884229,0.77929014,6.722992,-0.37518194,6.7301216,-0.32200307,8.736788,0.6082171,8.610159,0.13794632,8.546886,1.6635803,9.835539,0.9914937,11.706795,0.7584871,12.875144,0.46047014,11.913627,0.70367074,13.431457,-0.24443361,13.5582485,0.4015113,11.422981,-1.3170364,12.19702,-1.8093344,12.509653,-1.6150908,12.039979,-2.220861,11.187236,-2.2598217,13.639444,-3.1414404,14.843656,-5.1188464,16.21412,-5.1926928,17.532593,-5.49401,18.124153,-6.8183713,18.002748,-8.373471,18.589584,-9.882132,21.492682,-9.639848,21.163643,-8.3212185,20.91013,-9.650906,25.676424,-9.014942,26.712082,-8.129819,25.938328,-7.8868284,27.89385,-7.023239,27.07621,-6.614296,24.686832,-6.2840786,26.805008,-3.8931012,27.125813,-5.484725,26.687294,-7.212805,28.063774,-6.973945,27.939463,-7.0256486,29.411118,-5.63583,30.398537,-6.5720425,28.552622,-7.009998,27.417597,-8.276927,24.64035,-10.227437,23.57209,-8.753012,22.811525,-11.6295395,24.823067,-10.5132885,27.003813,-9.783599,26.393904,-7.8760533,25.243896,-8.143458,24.765724,-8.638348,24.18342,-8.497578,23.448101,-8.036356,22.667665,-10.313447,21.65346,-9.675626,22.168173,-11.501807,22.072973,-14.103798,24.182077,-12.051903,23.39442,-11.336342,24.508223,-13.055889,23.009218,-13.089344,22.43892,-16.576931,22.063068,-16.907555,24.920597,-16.339935,23.944336,-19.072224,23.571405,-16.918472,24.211689,-17.402353,24.000446,-17.26006,23.326878,-19.659187,24.8896,-19.645117,25.102337,-20.120907,24.308546,-22.136427,25.31173,-21.839499,24.576136,-23.6569,22.958702,-24.339573,23.012571,-22.152327,24.150682,-22.699644,24.263182,-22.880749,25.493233,-21.41243,24.837372,-20.17055,26.108412,-21.724285,26.055279,-23.227451,23.580545,-22.235405,23.31635,-21.597105,24.267578,-22.054193,22.759014,-22.697067,21.427113,-22.598118,20.84534,-22.949081,22.16693,-25.290205,25.269884,-25.375904,22.74325,-24.291872,23.417343,-26.496471,24.01134,-26.50977,23.206038,-25.92811,23.088005,-25.097998,23.869474,-25.70878,23.212683,-25.0553,23.608313,-23.565643,24.948505,-20.995039,25.754566,-19.628265,23.712936,-20.296116
brushing_teeth-306,1.7347592,0.4687637,1.8924978,-1.0307977,1.693819,-0.8267518,3.275975,0.67395335,5.8975496,4.051387,5.5625463,3.4406435,3.93924,4.169114,4.591092,4.350701,4.264425,3.5117304,6.149723,2.4926012,6.5888414,2.499287,8.300215,3.4547126,8.254072,3.0896842,9.537504,3.7644782,10.7271595,3.6964614,12.022293,4.2155905,12.821224,3.6917486,12.381325,3.9167485,12.890454,3.5125923,13.340812,5.095714,12.3005495,3.1703029,14.109112,1.7381779,16.18683,-0.78076977,15.522286,-2.4221632,15.209202,-2.1229274,16.783857,-1.1734548,17.95147,-1.8012992,20.346073,-0.89817584,21.321606,-2.3532248,21.655527,-3.0694652,22.474983,-3.832512,20.219185,-3.1181316,21.256018,-1.5196003,23.599174,-1.5121163,23.40114,-3.363866,24.53293,-1.1500401,22.38689,-1.9193522,22.627937,-1.5698272,23.686567,-1.073634,23.372618,-0.9553331,21.631483,-0.44227135,20.461582,-1.9313593,21.88003,-2.7732816,22.409191,-3.6832557,23.541477,-5.138503,23.158499,-6.9240613,25.546669,-5.9090943,26.716837,-5.6322036,25.92012,-6.1555886,25.321821,-7.582189,22.858967,-8.537443,22.343533,-6.8738523,22.250164,-8.542658,22.998068,-7.83258,24.872793,-8.849587,25.036772,-9.080511,25.167847,-10.0247555,25.33945,-10.729812,24.519436,-10.941472,21.203756,-9.368801,19.453936,-9.559909,17.926207,-8.4564905,18.34358,-8.103866,20.39753,-8.009716,18.829819,-7.8873477,17.616232,-9.526204,17.789011,-11.235376,16.747719,-11.152146,17.075539,-12.722567,16.501108,-14.161763,18.846132,-14.536922,17.262524,-16.165287,17.349375,-17.293444,18.39619,-18.078741,19.162865,-19.141586,17.381834,-19.168468,18.809214,-20.55062,18.932606,-21.521597,18.655107,-19.53526,19.295134,-20.489237,19.299833,-20.252655,18.098166,-20.979671,17.374746,-22.495052,18.124395,-22.006214,18.72023,-21.614923,20.032343,-21.165314,20.488792,-21.907114,23.473219,-23.765139,22.882803,-24.622438,21.913568,-25.287182,21.959137,-24.584805,24.82309,-23.587936,23.688745,-23.683737,22.760153,-23.280855,22.319704,-23.551056,22.792782,-26.461086,24.192701,-27.115583,23.174122,-26.868927,24.708364,-28.45418,24.38833,-28.345055,23.746904,-27.683573,24.657076,-24.868185,24.209492,-24.705969,24.25081,-24.48453,24.562395,-22.624481,26.517372,-20.128628,27.153662,-19.28074,24.724293,-19.208632
brushing_teeth-321,3.6249087,-2.9708176,4.847059,-3.6584046,4.5667915,-3.0588176,5.563064,-1.2916956,8.726542,1.9177058,7.553116,0.3561849,5.600617,0.60314363,5.074442,0.40757796,3.8759553,0.22781803,7.311457,-0.6270004,6.994105,-0.6687876,9.095681,0.31116897,8.845175,-0.13920176,8.683327,1.080242,9.971914,0.47863626,12.014887,0.38575324,13.22103,0.03462003,11.877821,0.4683666,13.527741,-0.22075538,13.644723,0.277053,11.550464,-1.4539108,12.236742,-1.8888364,12.296746,-1.7800355,11.893446,-2.4761567,11.128508,-2.2673836,13.6383505,-3.2539606,14.952646,-5.18843,16.298828,-5.213503,17.577963,-5.564531,18.283209,-7.047714,17.998306,-8.531003,18.846521,-10.164819,21.72802,-9.512614,21.258167,-8.2648535,21.026836,-9.540829,25.587961,-8.887887,26.67496,-8.122087,25.96746,-7.948923,28.011993,-7.0059743,27.104052,-6.560443,24.891546,-6.304164,26.817883,-3.9896142,27.138521,-5.5222573,26.61068,-7.1603045,27.714111,-6.9974275,27.639006,-7.2895904,29.53625,-5.7546606,30.339552,-6.4810095,28.38509,-6.930707,27.179546,-8.01239,24.6411,-9.677426,23.74007,-8.466679,23.017445,-11.371326,24.828735,-10.260581,26.851665,-9.370512,26.16404,-7.737891,24.895546,-7.8455606,24.544262,-8.594778,24.002321,-8.429922,23.117495,-8.088855,22.450706,-10.345443,21.307571,-9.793403,21.923805,-11.58198,21.821062,-13.930053,23.807026,-12.047281,23.204477,-11.654688,24.663523,-13.332441,22.988094,-13.194457,22.667933,-16.798492,21.97964,-16.873472,24.721474,-16.394886,23.68033,-19.098259,23.751122,-17.16891,24.346598,-17.741873,24.227396,-17.506413,23.234663,-19.70273,24.701153,-20.012484,24.817547,-20.076895,23.792505,-22.067213,25.134218,-21.861845,24.392448,-23.621231,22.802523,-24.3966,23.177408,-22.34818,24.13359,-22.714529,24.281843,-23.004349,25.344707,-21.30906,24.90026,-20.172022,26.100325,-21.880495,26.010372,-23.555632,23.691889,-22.634895,23.156792,-21.98227,24.12729,-22.445812,22.601036,-23.248844,21.428192,-23.654669,20.566288,-24.63642,21.22004,-27.242332,24.006521,-26.439964,22.466381,-25.570147,23.633078,-27.373547,24.361105,-27.317833,23.347734,-27.02319,23.308527,-26.047617,24.519684,-26.12552,23.808348,-25.76201,24.349825,-24.25577,25.786028,-21.881746,26.126247,-20.927393,24.791027,-21.34391
brushing_teeth-322,0.5173915,0.06769966,0.5024817,-0.76089555,-0.38057438,0.44791713,0.28792074,1.132086,3.1297634,4.135753,2.2186716,4.386812,1.6263974,6.6014557,4.3197484,6.2514377,4.2084713,5.4889607,5.6681714,4.682776,4.6227946,5.1654015,5.818584,5.5945544,4.4927125,6.2717276,7.7695055,6.730541,9.499336,5.9382987,10.383695,5.2575536,11.677796,4.733168,11.276023,4.992731,11.631032,5.4300838,11.521511,6.6756773,11.323099,5.407778,13.361017,3.9528444,16.738476,1.73324,16.976837,-0.19580694,17.358892,-0.48626173,17.205635,0.81676704,18.28773,0.46430248,19.009167,0.5608931,19.68363,-0.96810466,20.772623,-0.32803226,20.961542,-2.768602,19.000748,-1.675966,20.020275,-0.90600497,22.549864,-0.72552425,21.820732,-1.3888823,22.072496,-0.009799721,22.730974,0.688943,22.931643,0.52180326,24.464005,1.502194,24.5157,1.5088105,22.910004,1.665296,21.379019,0.5139526,22.238857,0.029106596,21.984474,-1.4814751,21.975187,-2.9007692,21.20376,-4.596107,22.057978,-3.8400745,23.840252,-2.8949566,22.621407,-3.7933195,21.941372,-4.533001,21.652348,-4.8819375,20.685778,-4.0627265,20.81815,-5.834663,21.478704,-5.597717,23.305487,-7.0603347,22.165106,-7.307927,20.194895,-8.447784,20.907028,-8.70843,21.179873,-8.441753,20.184526,-7.940279,19.361666,-8.577574,17.406433,-8.174835,17.99412,-7.6003513,20.559822,-8.011674,19.59863,-8.294422,18.370577,-9.902887,18.686323,-11.755191,17.165607,-11.434709,17.659384,-12.996643,16.808067,-14.303265,19.296612,-14.390935,17.42378,-16.829453,17.669924,-17.512938,18.836079,-18.221684,19.674694,-18.63588,18.159914,-19.056429,19.614887,-20.002775,21.721094,-20.093996,21.074537,-20.119953,20.53353,-19.86231,19.584808,-19.633905,18.571753,-20.032337,17.321243,-21.239565,17.861992,-20.590305,17.751585,-19.713253,18.147419,-18.65303,16.737188,-19.49755,18.970676,-22.044216,18.294247,-22.496616,16.268646,-24.940872,16.663185,-26.14233,17.118689,-28.292597,17.042114,-28.32205,18.375929,-29.264624,17.577896,-29.435976,18.92563,-31.231747,20.503466,-29.936222,20.520666,-30.060556,22.156569,-30.604687,23.564592,-31.037596,23.897081,-31.117876,22.708414,-29.726809,25.439186,-29.264534,25.824278,-29.596537,26.567188,-28.400835,25.949558,-26.923155,26.544777,-26.00764,26.951168,-25.064516
brushing_teeth-714,2.0352588,-1.4213407,2.8211749,-2.815467,2.0679977,-2.592898,3.347547,-1.0085168,6.8151484,2.4250934,6.010072,1.5076989,4.3342876,1.7639647,4.1279073,1.7811035,3.2574835,1.4664557,6.012739,0.26827484,6.1861615,0.8657714,7.907538,1.8101921,7.6416054,1.6881571,8.209402,3.1996737,9.653334,2.6734567,10.8707695,2.4018812,11.623446,2.1131577,10.894579,2.5845587,11.987443,1.2987736,11.793529,3.109446,10.80528,0.5292041,12.208813,-0.9331707,13.213302,-0.93190104,12.984166,-1.8609284,12.3248415,-1.7057124,14.445921,-1.5173349,15.521417,-2.0123696,16.495907,-3.5020792,18.359056,-4.9315066,18.560259,-6.2289944,18.447298,-7.884923,18.612568,-9.123561,20.918669,-8.744748,21.326239,-6.9266486,21.182503,-7.9936295,24.801422,-7.197054,24.707733,-6.504882,24.264841,-5.346714,25.207432,-4.8187,25.397099,-4.9767737,23.379282,-4.885712,25.066189,-2.356285,25.903801,-4.207374,26.04647,-5.507834,26.799355,-5.7093353,26.508844,-6.1780224,27.33113,-4.403165,27.830347,-4.085608,26.468555,-4.542668,25.764482,-5.4954505,23.910017,-7.0917673,23.692255,-5.8543797,23.311403,-7.5410066,24.094254,-6.4537067,25.191723,-6.8198285,23.85821,-6.8154826,22.909986,-7.0758023,22.82965,-7.977029,22.449476,-7.913454,21.974129,-7.4076586,21.81732,-9.009005,20.302702,-8.123304,21.656378,-9.268585,23.328293,-10.436365,22.48387,-9.289962,21.46061,-10.083998,22.715088,-12.067917,21.130783,-11.504415,21.824331,-14.6004505,20.561,-15.745885,23.733452,-15.6561575,23.006342,-18.239754,22.733093,-16.81625,23.48483,-17.402285,23.394829,-17.485186,22.563477,-19.257795,24.002007,-19.644451,24.037685,-20.047615,23.840092,-22.098686,24.845655,-21.646524,24.500338,-23.217924,22.59382,-23.811953,22.072283,-22.199396,21.90826,-21.533974,22.039175,-21.282967,23.285612,-20.19425,22.308643,-20.150372,22.76281,-21.795858,22.239946,-22.530338,19.670511,-24.134125,19.250505,-24.39733,19.345709,-25.94392,18.999037,-26.780119,18.948334,-27.632423,18.025621,-28.41962,18.680159,-30.164782,21.653498,-28.30662,20.584759,-28.442577,21.59754,-29.80934,23.352757,-29.412424,23.431967,-27.585382,23.273996,-26.206776,24.311005,-26.218853,23.58615,-25.76593,24.188074,-24.330723,25.234768,-21.660841,25.696117,-20.506351,24.50048,-21.347387
brushing_teeth-745,3.9236698,-0.012535034,4.4597073,-0.9632303,3.6846209,-0.93711156,4.8542686,0.837177,7.2069077,4.5314116,7.0235925,3.5202653,5.2863317,3.6229148,5.799208,3.1340036,5.447915,2.3203151,7.8977857,1.3924557,8.22669,1.1673839,10.210612,2.0305233,10.237084,1.5138624,10.533058,1.3561665,11.857277,1.1187732,13.562358,1.1449641,14.597999,1.0236217,13.511772,0.14629388,15.204691,0.16446643,15.25374,0.8344094,13.264029,-1.3173211,14.191763,-2.5339901,12.834368,-3.5347354,12.092748,-4.269099,11.5622015,-4.1466336,13.903312,-4.9247503,16.680883,-6.1703777,17.9962,-6.5950494,17.358774,-7.283742,19.070501,-8.555097,18.809992,-10.505256,20.326902,-11.093701,23.30494,-8.919031,22.646698,-9.560241,22.066425,-11.0336075,27.165249,-8.727509,27.786722,-6.962416,27.922577,-7.5455832,29.792309,-6.6312327,29.166552,-6.3206196,26.717764,-6.509305,28.331974,-5.2485404,27.669064,-7.9538894,25.730719,-9.15039,27.92151,-8.747197,27.95684,-8.989691,29.564722,-7.2811666,29.771364,-7.7034507,28.20745,-8.424354,26.593834,-9.5505495,23.362425,-11.264358,22.068233,-9.483469,21.274406,-11.7246685,23.733685,-11.283242,26.322657,-11.14434,27.366056,-9.435478,26.49474,-9.976803,26.47647,-10.798579,25.933218,-10.972547,24.385654,-10.187737,23.363693,-12.873746,22.377666,-11.672986,22.075333,-13.748556,20.210318,-14.310897,23.200083,-13.338062,23.12288,-13.084331,24.942158,-15.148785,23.199686,-14.861493,22.52777,-18.487804,22.553885,-18.662342,24.956947,-18.048952,24.053394,-20.638096,24.96292,-17.863941,26.009897,-18.395254,25.34966,-18.479773,24.080553,-21.398462,25.690256,-21.472485,26.171772,-21.31012,24.945213,-23.627228,24.904747,-23.515856,23.724,-24.81543,22.347519,-25.949375,24.09464,-23.714527,24.487946,-24.357458,23.698898,-24.650059,25.547861,-23.083506,26.18583,-21.6386,27.386343,-23.539688,26.3264,-25.195599,25.15625,-23.20752,24.406454,-22.86029,25.493763,-22.927954,24.464888,-22.961727,23.134472,-22.955536,22.863728,-22.979698,24.04301,-25.475573,26.621483,-26.843786,25.026533,-24.895704,25.356703,-25.79059,25.92309,-25.925041,25.272594,-26.005737,25.43317,-25.464262,25.886944,-24.787813,25.979118,-25.077564,26.107347,-23.124138,27.523998,-21.64951,28.094116,-21.14104,26.811232,-20.451982
