id,t0d0,t0d1,t1d0,t1d1,t2d0,t2d1,t3d0,t3d1,t4d0,t4d1,t5d0,t5d1,t6d0,t6d1,t7d0,t7d1,t8d0,t8d1,t9d0,t9d1
ankleboot-36,6.278379,-0.025715753,7.763274,-0.5716792,8.903777,-1.5916964,10.650372,-1.3490716,11.362985,-3.6627645,10.437618,-4.811653,10.63827,-6.18589,12.6340475,-6.5609293,11.909933,-8.25532,12.530745,-9.4164915
ankleboot-52,6.607527,-0.1537242,7.956662,-0.6044213,8.711347,-1.3023366,10.863285,-1.0086936,11.363323,-3.4912357,10.524153,-4.71069,10.67896,-5.79297,12.828856,-6.28666,11.785805,-8.044789,12.6366005,-9.184106
ankleboot-55,5.9200716,-0.321006,7.4740014,-0.86135113,9.032038,-2.0239823,10.650126,-1.7811826,11.074621,-4.229043,10.509396,-5.5848546,10.337539,-6.352152,12.312363,-6.8677473,11.779065,-8.823493,12.141622,-9.695451
ankleboot-56,6.0056005,-0.6521319,7.383481,-0.9684446,8.790983,-1.619206,10.851692,-1.6037325,11.134745,-3.7024498,10.230061,-5.173933,10.296479,-6.083637,12.354229,-6.4776196,11.577921,-8.44456,12.3191395,-9.414877
ankleboot-67,6.205825,-0.5349211,7.6368947,-0.88264745,9.157156,-1.7818227,10.966436,-1.7783555,10.876874,-4.080528,10.188499,-5.2877827,10.265962,-6.185904,12.254847,-6.7018833,11.50774,-8.609223,12.155937,-9.511189
ankleboot-80,5.416426,-1.34057,6.7317996,-1.6913353,9.019809,-2.9955225,9.940746,-2.745115,10.209334,-5.1156106,9.829579,-6.5560455,9.750957,-7.409183,11.4018135,-7.830864,11.37078,-9.886597,11.487598,-10.996977
ankleboot-86,6.067931,-0.25579086,7.342816,-1.0237081,9.08327,-2.0649416,10.666788,-1.948839,10.786519,-4.420133,10.466296,-5.7099023,10.117191,-6.6276364,12.185241,-6.955769,11.58808,-8.798671,11.980783,-9.868123
ankleboot-100,5.2035346,-1.17837,6.833377,-1.9253904,8.920379,-3.6130931,9.609281,-3.2189791,10.012299,-5.785104,9.995628,-7.268996,10.213933,-8.072531,11.388159,-8.47062,11.61663,-10.569414,11.799176,-11.417389
ankleboot-102,6.01369,-0.40906,7.4948974,-0.8936317,9.083233,-1.9849623,10.666002,-1.8098286,10.843887,-4.2178135,10.2678995,-5.519117,10.186345,-6.4550366,12.1763315,-6.878776,11.60477,-8.684674,12.083075,-9.696728
ankleboot-132,5.0565853,-1.046781,6.6314254,-2.0155933,8.731592,-3.3670359,9.866446,-3.1722724,10.335673,-5.6985064,10.192073,-6.9446516,10.33481,-7.8631687,11.512097,-8.52478,11.804691,-10.453431,12.010168,-11.286062
ankleboot-134,6.5532637,-0.08452088,8.137074,-0.42033714,8.620293,-1.2846442,10.8945265,-0.9413577,11.368184,-3.4692488,10.283753,-4.7206373,10.646706,-5.7068763,12.814822,-6.2551394,11.764178,-7.980669,12.589174,-9.205836
ankleboot-154,6.487186,-0.3666698,7.858001,-0.75253654,8.982003,-1.6297699,10.899971,-1.3978791,11.077874,-3.7099075,10.215924,-5.0236306,10.332909,-5.877421,12.476883,-6.3806634,11.662865,-8.222801,12.447357,-9.249564
ankleboot-158,6.6235366,-0.13850766,8.046568,-0.5386009,8.594963,-1.3285526,10.866246,-1.104567,11.306205,-3.5929744,10.226556,-4.756626,10.625926,-5.819422,12.68118,-6.3073745,11.751816,-8.056547,12.512387,-9.246965
ankleboot-172,4.9467816,-0.9604338,6.865507,-2.0176632,9.144114,-3.1509993,9.597633,-3.065214,9.961499,-5.65336,9.702308,-7.121245,10.026138,-8.129008,11.115522,-8.228495,11.2657795,-10.361176,11.444675,-11.449359
ankleboot-179,5.2198024,-0.9496636,6.7593703,-1.6969355,8.9382925,-3.1923778,9.873185,-2.877999,10.19194,-5.454025,9.918521,-7.0609593,10.056205,-7.7325234,11.425734,-8.228635,11.620398,-10.303964,11.804747,-11.098756
ankleboot-180,4.0576444,-2.9208772,4.6097,-4.915307,5.900089,-6.357676,7.0238047,-6.121978,7.940859,-8.309259,8.304727,-9.135553,9.283001,-9.832783,9.83031,-10.346177,10.189277,-11.985521,10.900911,-13.033111
ankleboot-183,5.202445,-1.0004556,6.833316,-1.7350298,8.571073,-3.4076111,9.899613,-3.054034,10.436603,-5.6072283,10.233693,-6.9194617,10.260892,-7.7878184,11.58311,-8.4835825,11.8674755,-10.277923,12.049273,-11.30181
ankleboot-191,4.7192845,-2.10218,6.3056283,-2.9056585,8.136494,-4.4235415,9.02768,-4.227503,9.758653,-7.464181,9.819081,-8.266126,10.335157,-9.198298,11.107133,-9.816317,11.512064,-11.772251,12.089222,-12.851483
ankleboot-199,6.4841876,-0.26038277,7.9916396,-0.7699319,8.978861,-1.4525955,10.839481,-1.3438897,11.09405,-3.6831784,10.133945,-4.937194,10.418168,-5.9586687,12.46538,-6.448698,11.498186,-8.37612,12.315474,-9.275765
ankleboot-209,5.766131,-0.6472476,7.093899,-1.1782075,9.127747,-2.2826283,10.782701,-2.1800873,10.601216,-4.6683745,10.346885,-5.8477864,9.986955,-6.96572,11.949252,-7.1986513,11.48064,-9.350087,11.785177,-10.164093
ankleboot-214,5.0426745,-2.1447992,6.514685,-2.8515286,8.355092,-4.1345987,9.214422,-3.911496,10.026439,-6.8556643,10.161769,-8.0175905,10.814484,-9.019579,11.275942,-9.429854,11.880175,-11.363178,12.305427,-12.488972
ankleboot-216,6.240408,-0.34355605,7.784634,-0.9600981,8.917498,-1.5710618,10.884626,-1.5483391,11.038367,-3.82439,10.165675,-5.196455,10.335327,-6.000268,12.440961,-6.4518094,11.634294,-8.303818,12.249764,-9.420209
ankleboot-230,5.1717243,-1.1910065,6.571872,-2.765324,8.338248,-4.1009116,9.529845,-3.4178126,9.911745,-6.1847835,10.140139,-7.5836525,10.595634,-8.63703,11.326001,-8.971763,11.898115,-11.16005,12.133541,-12.095121
ankleboot-234,6.0179,-0.422853,7.514751,-0.8228182,9.114635,-2.0408056,10.682216,-1.9630917,10.701348,-4.5529165,10.519438,-5.6406617,10.079268,-6.632358,12.215586,-6.902839,11.610303,-8.829551,12.071942,-9.730828
ankleboot-238,6.48819,-0.09718353,7.9912367,-0.55981416,8.938789,-1.5811584,10.883061,-1.3019643,11.204873,-3.6719356,10.335133,-4.862639,10.648128,-5.8785424,12.659115,-6.4608555,11.7356825,-8.206781,12.532567,-9.277814
ankleboot-257,6.6625853,-0.015306959,8.05923,-0.5581141,8.628113,-1.3704304,10.784244,-0.9947909,11.1892185,-3.573217,10.136121,-4.6515536,10.58302,-5.6294436,12.777314,-6.2094336,11.717774,-8.044768,12.53184,-9.142291
ankleboot-265,5.05378,-1.1065747,6.7154818,-2.0627935,8.582323,-3.4651766,9.987575,-3.1305552,10.442858,-5.5800343,10.259809,-6.9094315,10.274774,-7.7819734,11.478829,-8.518553,11.765924,-10.37694,11.95657,-11.349758
ankleboot-267,5.4779034,-1.1038244,7.0830045,-1.5010742,9.047574,-3.0759091,9.880428,-2.9276404,10.045876,-5.566261,9.826944,-7.1656322,9.94402,-7.877476,11.376345,-8.202049,11.428624,-10.254375,11.591547,-11.307399
ankleboot-278,5.91866,-0.42131242,7.583019,-0.79520524,8.866824,-1.6999828,10.634526,-1.7899039,11.170014,-4.179666,10.53546,-5.46126,10.472086,-6.331073,12.321137,-6.8631377,11.833077,-8.6121435,12.268683,-9.622743
ankleboot-318,4.4541993,-1.4667515,4.6037545,-5.406073,8.958262,-2.997639,6.291878,-6.04597,8.167656,-7.4784055,7.8270817,-8.620707,8.696261,-9.171439,9.526423,-9.545039,9.737352,-11.192844,10.183134,-11.97065
ankleboot-332,4.7340207,-2.1645944,5.6694765,-3.5281043,8.572259,-3.7294035,6.7852364,-5.8956633,8.23997,-7.6990976,7.9410934,-8.639708,8.709795,-9.320297,9.573711,-9.7633705,9.859417,-11.269299,10.481167,-11.98928
ankleboot-344,5.698977,-0.5336424,6.950922,-1.2812375,8.97975,-2.3206904,10.4061775,-2.2452083,10.623123,-4.8908505,10.3864155,-6.052253,10.110607,-6.9913907,11.915582,-7.3284235,11.660411,-9.318961,11.945961,-10.239432
ankleboot-346,6.0535526,-0.40165016,7.573909,-0.75089055,9.000074,-1.8601266,10.733498,-1.5701687,11.12258,-4.08161,10.416267,-5.290414,10.331682,-6.3052096,12.380966,-6.7576933,11.693828,-8.525607,12.178636,-9.635756
ankleboot-350,5.94084,-0.85682875,7.105289,-1.3615404,9.218967,-2.2856743,10.619368,-2.1680725,10.466089,-4.73709,10.167709,-5.805951,9.933407,-6.7885904,11.844932,-7.1571865,11.329334,-9.453966,11.734915,-10.183014
ankleboot-359,6.4494896,-0.15526125,7.9655085,-0.64784676,8.840624,-1.4814963,10.844058,-1.242296,11.26297,-3.6762314,10.3403845,-4.8413043,10.563686,-6.045099,12.685588,-6.3430963,11.759452,-8.146885,12.532466,-9.268798
ankleboot-369,3.1406658,-3.366059,4.364094,-5.050916,5.0713477,-6.561106,6.5656514,-6.132578,7.1376095,-8.293767,7.395172,-9.04665,8.347916,-9.621547,8.406406,-9.960439,8.772065,-11.390934,9.496857,-11.918133
ankleboot-379,6.5220222,-0.048056994,7.9094887,-0.6177724,8.827581,-1.494685,10.790335,-1.1413704,11.326752,-3.644313,10.419845,-4.883686,10.659379,-6.017687,12.663132,-6.4839544,11.841409,-8.252573,12.525924,-9.341849
ankleboot-382,6.0432034,-0.38519588,7.4083796,-0.9475278,8.927486,-1.9340713,10.648704,-1.7743814,11.017031,-4.2242007,10.395735,-5.4750843,10.270797,-6.3969445,12.282695,-6.9036727,11.693169,-8.77435,12.05419,-9.705186
ankleboot-388,5.052063,-1.2048024,6.876496,-1.9041187,8.864174,-3.4770894,9.646617,-3.3302956,10.052278,-5.8306684,9.991241,-7.3379765,10.264815,-8.09428,11.294623,-8.452188,11.637879,-10.565861,11.755235,-11.510898
ankleboot-410,4.6913757,-1.570775,6.6341305,-1.9069049,8.733397,-3.566768,9.5157995,-3.3704283,9.567541,-5.915592,9.826791,-6.984947,9.598125,-8.022028,11.005865,-8.104643,11.113445,-10.213494,11.262803,-11.237151
ankleboot-423,5.8548465,-0.8871118,7.151453,-1.520234,9.110369,-2.899488,9.956873,-2.767119,10.262764,-5.0897527,10.035674,-6.5503397,9.91452,-7.4569826,11.467359,-7.9016194,11.476449,-9.911252,11.568254,-10.980679
ankleboot-431,6.000965,-0.60480225,7.101192,-1.574652,9.108297,-2.7029214,10.209063,-2.6486633,10.254847,-4.9337587,9.93788,-6.417767,9.808738,-7.517453,11.356079,-7.869694,11.363887,-9.853464,11.470837,-10.859839
ankleboot-457,4.9486613,-1.3676074,6.5092893,-2.3530185,8.419321,-4.1813626,9.2965975,-3.7380438,10.105009,-6.439773,10.234897,-7.7729664,10.6122875,-8.658845,11.248979,-9.115938,11.819091,-11.140595,12.168231,-12.103263
ankleboot-458,5.118583,-0.74769837,7.147805,-1.3334442,8.872914,-2.9586499,9.360907,-2.9917283,9.882167,-5.670726,9.622706,-6.766629,9.538949,-7.7952995,11.033426,-7.8461356,11.122805,-10.044984,11.20727,-11.125262
