id,t0d0,t0d1,t1d0,t1d1,t2d0,t2d1,t3d0,t3d1,t4d0,t4d1,t5d0,t5d1,t6d0,t6d1,t7d0,t7d1,t8d0,t8d1,t9d0,t9d1
ankleboot-36,-1.4170476,-8.975502,-0.4454454,-9.292833,-2.0674706,-10.939246,-0.7141251,-11.165018,-1.3825101,-13.857367,-1.2975826,-15.327716,-1.2984915,-16.631212,-0.7290293,-17.323622,-0.77495384,-17.613762,-0.98282886,-17.758505
ankleboot-52,-0.395601,-9.673131,0.22031446,-9.952392,-0.6257412,-11.587554,0.13323364,-11.6984825,-0.2530159,-14.107889,-0.07407933,-15.464949,0.2030093,-17.10481,0.73803467,-17.748007,0.64894605,-17.868095,0.4542851,-18.124386
ankleboot-55,-2.1096776,-8.128545,-1.4429554,-8.82266,-2.5445962,-9.603144,-2.3437366,-10.668175,-2.4144936,-12.298079,-2.2230544,-14.13979,-2.2284572,-15.348793,-1.9334812,-16.040667,-2.081768,-16.133625,-2.081531,-16.455164
ankleboot-56,-2.5635717,-8.698024,-1.8375947,-9.561258,-1.2351271,-10.11609,-1.9153622,-11.706592,-0.3697357,-12.479094,-1.1282588,-13.634346,-0.46778002,-15.051316,-0.659534,-15.597372,-0.60788345,-16.006975,-0.34237134,-16.327627
ankleboot-67,-1.4232894,-8.005132,-1.6157616,-9.500791,-1.6386982,-9.890018,-2.2383652,-11.089218,-1.5437261,-11.9317875,-1.3425412,-13.219613,-0.9476589,-14.726763,-0.76696926,-15.073813,-0.8716395,-15.387315,-0.89430904,-15.575032
ankleboot-80,-2.732381,-6.526657,-2.9131107,-7.6336074,-3.272184,-7.9660153,-3.8708472,-9.216304,-3.6835194,-9.848831,-4.23804,-11.211333,-3.6222754,-12.488463,-3.6627645,-13.101566,-3.8378541,-13.112808,-3.8647482,-13.2689495
ankleboot-86,-1.925677,-7.834322,-1.7737151,-8.861311,-2.1547265,-9.585806,-2.3801003,-10.782869,-2.8214717,-11.338798,-3.0613847,-12.695154,-2.4928358,-14.633798,-2.1217175,-15.182239,-2.3778903,-15.124427,-2.4283597,-15.3795805
ankleboot-100,-3.7679853,-5.625493,-3.1478467,-6.5638905,-4.448622,-7.517514,-5.0070367,-8.436793,-4.881549,-9.809167,-5.3136883,-11.148859,-5.87799,-12.307524,-5.783246,-12.67094,-5.923011,-12.937684,-5.982494,-13.021637
ankleboot-102,-1.7478523,-8.172933,-1.7042576,-8.938,-2.301037,-9.743244,-2.5357087,-10.714728,-1.9888636,-12.174879,-1.9732127,-13.473777,-1.7604045,-14.876518,-1.5517578,-15.294791,-1.6428293,-15.484335,-1.6762215,-15.746312
ankleboot-132,-3.6306944,-6.7809625,-3.3793836,-7.2243595,-4.4267063,-8.14488,-5.2142153,-9.598518,-5.181935,-10.459598,-5.7475834,-11.910832,-6.172613,-13.23015,-6.3352957,-13.671045,-6.5086465,-13.901173,-6.569556,-13.976866
ankleboot-134,-0.16226447,-8.729943,0.28247836,-10.082888,-0.37823534,-11.569652,-0.12074131,-11.719095,-0.18198676,-13.88477,0.42937452,-15.442382,-0.020628452,-16.601309,1.1632739,-17.377655,1.3276863,-17.592249,1.1707013,-17.937155
ankleboot-154,-0.730001,-8.34919,-1.1073836,-9.867605,-1.2845771,-10.5399275,-1.5055363,-11.694962,-0.7707904,-12.417267,-0.6177608,-13.787914,-0.43858594,-15.240742,1.3202078,-16.276766,1.166193,-16.076004,-0.21700543,-15.419691
ankleboot-158,-0.10415893,-3.9100301,-0.13461575,-10.066064,-1.0023929,-10.796853,0.05855447,-12.150971,-0.45405602,-13.278009,-0.9350604,-14.428032,0.73240566,-16.802898,-0.056414843,-16.652596,-0.3707024,-16.829796,-0.46465433,-17.07276
ankleboot-172,-3.647981,-5.889746,-3.1269996,-6.4572854,-3.6069777,-7.6365156,-4.3433886,-8.629637,-4.212945,-9.697043,-4.9228897,-11.035827,-5.1594744,-11.936284,-4.8137536,-12.045746,-5.1775074,-12.317932,-5.1809573,-12.439708
