id,t0d0,t0d1,t1d0,t1d1,t2d0,t2d1,t3d0,t3d1,t4d0,t4d1,t5d0,t5d1,t6d0,t6d1,t7d0,t7d1,t8d0,t8d1,t9d0,t9d1
ankleboot-36,11.45859306628826,-25.924086751067097,12.515258622946654,-26.86609038787937,11.75235987820215,-33.1047609593063,15.508523764994811,-32.17372774340738,14.284273023531476,-31.614759565761094,16.02527994370149,-31.929337913629908,14.713513413879062,-35.844023610897274,15.820814421007332,-38.09556183370799,17.88092250855556,-37.96750826685173,17.234621153258832,-39.38048510719673
ankleboot-52,22.360934394042136,-12.60404683007135,23.54610516864804,-14.691558652548556,30.497582644574187,-12.771696526855717,25.532991384690252,-17.778034757340393,33.63604253900226,-12.765592283361157,33.212756227042206,-15.50438613461596,33.569322718217045,-17.53540397156685,36.76090133472846,-17.837369145357293,38.42808663636046,-17.54767057604072,38.893131396856624,-17.605029466789848
ankleboot-55,-0.8200886518037365,-34.921333864981484,-3.6487279459256063,-37.67483034243408,1.895189651911057,-46.57573716880431,-1.027871293399695,-43.414297595545484,2.1307145975762936,-45.617952494077166,0.26726091367184945,-45.16553026665096,1.5530099270029034,-52.80982464442631,0.42948543989125265,-53.50536147352494,-0.20963384092100118,-55.48232712880907,-1.1886414462331152,-56.602905197759135
ankleboot-56,-4.6125955503546585,-22.621108634421706,-3.6908348060373894,-21.279468910699183,-4.378908175567185,-21.634129960861454,-4.666535861004525,-19.144665104278868,-2.7412459487431615,-13.631226832883941,-3.4786679779437666,-23.263544622554925,-3.6724627097102838,-27.153347398588558,-5.749167011896958,-26.2289855420389,-5.4869671550221835,-26.172444619805827,-5.236633373435556,-27.239438606374947
ankleboot-67,-1.7657494682713226,-32.210467555830256,-3.556609244348471,-34.642421166833415,-8.344182795565244,-38.03426066596859,-1.8942628277084927,-39.37258456197797,-6.273975094231161,-41.964332916118835,-3.816814204025652,-44.610797399422495,-6.068779233266912,-48.388981777997614,-6.364916054780931,-50.33872003945097,-5.285969318715312,-49.32000702370794,-6.880149484160606,-51.37805917741323
ankleboot-80,-26.311582901639305,-26.51823009261608,-17.08220065559728,-36.91962585832262,-23.681022048415414,-32.453662146784666,-21.990503118093514,-40.38718711639857,-26.047342960839426,-41.135089604195656,-27.123327740644918,-45.29959118417665,-26.58837981298992,-46.531581648821685,-30.03988938191567,-47.543881595994186,-30.353864774342668,-50.80276486026228,-32.40909314702078,-51.872188514577424
ankleboot-86,-1.2193044429505062,-36.58081902764665,0.10347930073508366,-35.559602399683286,-1.241543845679792,-37.97244936169893,-5.243038499565204,-40.453819762833625,-0.2858651854870831,-41.68915095469137,-4.0739287221241,-43.387995025792875,-4.368136379805969,-47.57621173919117,-5.126253309805231,-46.729476554944036,-3.8239547044726656,-49.21353399818366,-5.736818809478309,-51.221280989488235
ankleboot-100,-22.942682031615444,-36.74577628254615,-23.922025374313687,-30.430383534449327,-30.411522410753253,-39.776092063402935,-29.726444689578145,-44.33728383500616,-31.118251107533645,-46.7926519941217,-27.996702728261464,-45.07673360823367,-34.4706119880772,-53.13861930601165,-35.03200623072675,-54.66780338344481,-36.46234775513914,-55.9369087942398,-37.94301422754061,-57.25483735382311
ankleboot-102,3.0736914365600434,-28.73699803005377,-0.8387113681910088,-35.099066239950766,1.1987529746537757,-38.033667805832536,-0.09497901422623672,-39.62820243553635,3.4761410520918603,-41.455870288879254,3.4063762478559587,-45.071153181441744,1.169049917515523,-48.162473244476566,0.4991040787172892,-49.395421437599374,1.2431026554638944,-50.24747793974847,1.2661379658548093,-51.55594056701664
ankleboot-132,-9.908074145749612,-42.569328064618375,-12.92213501799159,-45.09498124246746,-14.097679100928397,-47.375631303750644,-12.675965655596997,-52.962609636112504,-17.839651127966107,-53.74957782912561,-16.333196711334935,-59.11201000489957,-21.055937928407957,-62.262951450520674,-21.141719623417657,-63.91146610828996,-22.307899788523773,-68.69582859091952,-23.462007596489457,-70.14029339487479
ankleboot-134,9.67031342127328,-10.872642162143201,6.291386983136708,-10.540200627033991,11.497620100237032,-9.769835604124259,7.206351600788035,-14.670376793680854,10.738399355552849,-12.716872338750882,8.700099946813419,-11.839704599777027,9.882391696276976,-15.326505114773484,11.763807436120118,-17.308797640217694,10.637209954973821,-15.928926711504896,10.395410162979749,-16.37153835070352
ankleboot-154,-1.554484974833628,-18.822700281744755,-1.6159061988273158,-28.428523897868363,4.985246677462949,-32.93201297398295,0.6500673682661255,-30.31021866811992,-2.4118657656033253,-33.68508078767793,-1.6116511369207962,-31.630027298429667,2.2712103617727224,-38.07747942556506,-1.0647119336175008,-37.736677072305504,-0.43469654244967865,-38.52958019582549,-1.4194274507809232,-39.796219727010666
ankleboot-158,1.1279348186801768,-12.099084474098142,3.154228581624745,-21.76884546122957,1.633602756535118,-19.465620271114066,7.388142687370756,-25.349015539355058,3.976485316634429,-26.850922265244098,3.886281568068896,-28.94200251535198,2.918489358492847,-26.952370857688738,4.347465764155974,-29.85871153326208,4.52212827326607,-30.38477021001925,3.9087854625629275,-31.275481491718306
ankleboot-172,-26.84361825758556,-31.50443139784642,-31.09748735552333,-27.28266490096423,-24.852456929028683,-32.30951702440588,-33.412504012837935,-38.996383385954026,-31.506124895923403,-37.55962234172552,-33.31509191348394,-40.755172627662525,-36.47286805184947,-41.315235297234615,-37.88670262695421,-42.61729828618302,-40.284572080438,-44.688973674968004,-41.70562650764177,-46.19092405808604
ankleboot-179,-8.254322030116,-45.03334234116005,-17.28692335403795,-44.982814144301,-17.395031235048773,-45.04060164602371,-16.592025456378195,-53.222184596778625,-19.171138460232417,-53.13000627863144,-15.680708050695795,-55.97807979518035,-19.289916945471017,-58.359584623999076,-19.99656058186863,-62.47783197823784,-21.53289493571438,-64.08625755103036,-23.05350603436259,-66.07726533870998
ankleboot-180,-35.669056327187185,-9.657614050921739,-43.80510443300713,-5.304323368787084,-44.57746241893499,-6.7045464575253595,-48.57218750835029,-10.449493602929483,-51.07725022196372,-8.163951422303636,-53.51847708526826,-9.708150797971134,-56.48411448570268,-9.912613010392134,-58.53126155601879,-10.03213909734039,-59.57897234125109,-12.517173440874815,-61.203944737002665,-13.548404006675261
ankleboot-183,-12.304189065528803,-41.72661013097431,-9.74017707907186,-42.00239737101226,-15.502137519781666,-41.95946939976299,-10.791580448280781,-48.45632267739793,-11.123012592674765,-54.045566590112635,-12.843910318034071,-53.55755306697927,-16.214082462095273,-58.142646833569124,-12.872480722703182,-58.38430978698687,-15.441340020725352,-61.90852190209253,-15.968814940826816,-63.77968500947879
ankleboot-191,-30.35347598862491,-21.942136600245878,-37.00706952002634,-22.058676047207577,-37.86317019224316,-24.986683008117712,-40.283125270841346,-28.8297271612348,-40.77932251765964,-22.695308446855417,-41.874626590122865,-27.6033448490431,-48.44908374565139,-31.54686530124604,-50.34745706586748,-31.626202793964463,-51.27975681484939,-33.395158891608915,-52.63937428442333,-34.16830521106378
ankleboot-199,3.057367638926503,-28.027137466629785,5.124161023547136,-27.5357543480907,10.215205611956737,-33.67585460381533,9.416649367117463,-33.540241143048256,8.992275686059873,-33.03805915863174,7.170322506128189,-35.987555177838644,5.46397328182235,-38.91025923534437,5.996773685858963,-39.81911338189842,6.480691451894387,-41.54296309317352,6.2423882571799485,-43.11289938610638
ankleboot-209,-8.32805096460762,-34.926638301153666,-3.4969599949536043,-35.8409304326515,-9.043887999132728,-41.12420280664148,-9.300705490895204,-43.81733015819737,-10.254938744858553,-45.47627478439818,-12.115375131862464,-50.17273602848561,-9.18618929283249,-49.09180030692505,-12.500485105896793,-51.05681378301341,-12.809862070729038,-52.98675335145407,-13.322011803831675,-54.77728039851005
ankleboot-214,-27.225063234951765,-30.500396301408234,-30.571340934499233,-30.698509108971997,-27.37925371325291,-30.87943165679779,-27.931295482083776,-34.75543219988594,-29.261804511048037,-32.34949061098592,-31.09495980806647,-37.351783248023864,-34.040946161534485,-37.530223191325945,-36.97779649255441,-40.48964854241133,-37.433271141878436,-41.595610806440995,-38.61888880126718,-42.76475776173795
ankleboot-216,1.1134867033729936,-23.48077395567653,-2.7590971374806266,-34.03018817264134,5.4214594325868,-35.54209150321218,-3.23682469934383,-32.335224947432444,1.035084487933359,-38.504120874686784,-0.3855511570224531,-40.40955644025325,1.0199743296019752,-40.29438126356092,0.7580620326448806,-42.947728289989044,0.044790755252443,-44.33763771565047,-1.2178068411253045,-45.249229842015204
ankleboot-230,-29.33549790426382,-31.711360022541253,-33.91287265873763,-29.373926831859507,-34.91272020097978,-34.32439283524838,-34.368424193055205,-37.607672182824096,-34.902461730736526,-39.32797310473843,-37.489608915555664,-39.97909300464459,-38.651667368198424,-43.75014652250276,-43.58657072989558,-46.14249469849315,-44.74709071209442,-47.59936171443085,-46.374827422487556,-48.36587289239338
ankleboot-234,-0.9421073562438613,-28.31379958348692,-1.4323105465569768,-33.54428334340804,4.1645620937181,-39.70110410486599,-0.5588595581211415,-36.938210777978995,1.3320089075157124,-42.30462021367645,-1.5288870554196698,-43.76484484618287,-1.0007344940317557,-47.99370806284081,-0.5892146663042535,-46.66266975449125,-1.6620634433524346,-48.793601445800284,-2.0070872666933233,-50.36498565974629
ankleboot-238,3.3703948621064703,-29.208784377214567,0.8885386798952445,-30.696790723720643,8.998525838474306,-36.78949375941079,5.344841372144428,-33.88274329580222,8.907753536833344,-43.27912167324299,8.718252888579196,-40.495578199930826,9.672132387295678,-41.82182332573738,9.00787140520989,-47.02298235474684,10.2104999011527,-48.4151551699035,8.978854721745973,-49.18185414789723
ankleboot-257,12.547484847447933,-2.5900793470435417,12.598792412472282,-4.485671718544145,12.091406738841055,0.6811604833092403,15.226701240688026,-0.947191130267705,13.635616618063963,2.0240432860610458,15.036396179230627,0.38002758234060346,16.42402093047849,0.5389171583245155,17.009582718915652,0.9066388556563062,17.568253208986043,1.778489110802573,18.72939575108412,1.4578154334099689
ankleboot-265,-19.494011918548058,-29.805012612864314,-21.742653335651593,-26.93792184017985,-20.372584714767132,-36.35900406988646,-23.485314792946024,-38.83051179075522,-21.08132047027276,-38.94066879613264,-24.061206863115157,-46.57644703558509,-26.386542238279947,-44.12149797032239,-27.201515847479385,-46.9189258806051,-28.361366905426053,-48.35429124329489,-29.515029550951457,-49.95282613127566
