id,t0d0,t0d1,t1d0,t1d1,t2d0,t2d1,t3d0,t3d1,t4d0,t4d1,t5d0,t5d1,t6d0,t6d1,t7d0,t7d1,t8d0,t8d1,t9d0,t9d1
a-0,1.9200759,0.984353,5.959765,10.515349,3.9521894,12.340326,3.024647,14.701053,2.3009946,15.113567,3.2904704,15.759611,6.178174,18.49778,6.011127,19.981974,8.297128,18.92068,9.927835,20.751993
a-1,1.7068717,0.9850787,5.955646,10.590585,3.810596,12.288724,3.4043698,15.231032,2.8202558,14.661265,3.130952,15.58572,5.8261023,18.25504,5.801184,19.870733,8.018038,19.068523,9.668183,20.649734
a-2,2.0013227,0.8262499,5.6518703,10.759529,4.4573817,12.3179865,3.50329,14.446054,2.208461,14.659022,3.058296,15.265451,6.0192385,18.826906,6.5436077,19.619133,7.9705434,19.182259,9.749982,20.908028
a-3,0.20013127,-1.2876813,5.139551,10.419176,3.6264288,12.325597,2.9045467,14.646167,2.7375093,14.495433,2.7275736,15.467009,5.456468,17.961176,6.5184855,19.953802,8.548533,19.501738,9.349937,21.029675
a-4,2.1830797,-3.08348,5.6657343,10.265097,4.329781,12.558877,3.2590487,14.800143,2.4275987,14.406878,2.7596483,15.789381,6.057923,18.264055,6.0296545,19.63792,8.665473,19.184095,10.030286,20.612022
a-5,1.4672135,1.5513744,5.278478,10.524742,3.8159063,12.231175,3.7155936,14.750541,2.6984138,14.489833,2.9038465,15.470234,5.4563074,18.128769,5.910511,19.566837,8.346508,19.022375,10.170239,20.921389
a-6,2.3739007,1.3739474,5.67756,10.346566,3.6777222,12.090485,2.8652236,14.733383,2.6578972,14.252222,3.1000445,15.514161,5.6768146,17.948986,5.8813944,19.975622,8.308376,19.24303,9.77113,21.167356
a-7,1.4972957,1.3431494,5.1536646,10.567597,4.4732137,12.051164,3.0792375,14.9154625,2.431369,14.253616,2.7230542,15.242242,6.0694175,18.635628,6.676928,19.48095,7.823032,19.481277,9.161542,20.742933
a-8,0.40291652,-0.67982936,5.2683797,10.70282,3.5682995,12.011424,3.1078,14.491451,2.0851555,14.552895,3.235267,15.836374,5.570305,18.20762,6.125563,20.115934,8.516524,19.519567,9.423822,20.96531
a-9,1.0817416,1.3883414,5.827156,10.513722,3.552957,12.041498,3.1757085,14.394619,2.1949034,14.494192,3.492632,15.771983,5.426358,18.522638,6.018605,19.695276,8.099741,19.12067,9.504343,21.309069
a-10,2.2095523,1.1906052,5.4203105,10.033559,4.3477035,12.526659,3.4128187,14.637061,2.410868,14.280589,3.0862153,14.978847,5.435965,18.622286,6.3831644,19.88951,7.986989,19.798069,9.2792225,20.52973
a-11,2.0810375,0.97541666,5.879982,10.220479,3.7145965,12.247338,3.1133711,14.691345,1.9994445,14.388132,2.9185197,15.114516,5.8540015,18.473988,5.8530045,20.31515,8.448633,19.162533,9.388001,20.811237
a-12,2.0852697,0.7004908,5.162659,10.491931,4.119091,11.784149,2.9413495,14.840447,1.8854595,14.567205,3.029482,15.695624,6.050111,17.843422,6.385448,19.678629,8.04467,19.070293,9.982795,21.213203
a-13,2.4230483,0.7866403,5.639815,10.881529,3.881646,12.045679,3.042153,15.004747,2.5184257,14.94323,2.8715665,15.740743,5.4665627,18.215605,5.7189655,20.069832,8.462518,19.230495,9.5106125,20.747128
a-14,0.3744725,1.3792086,5.664065,10.788898,4.2506647,11.946697,3.093279,14.594951,2.7074895,14.41122,3.2048995,15.664249,5.441114,18.229105,6.3711767,20.064272,8.730827,19.035461,9.409117,20.924288
a-15,2.4953904,1.3550743,5.5588474,10.565264,4.2227263,12.379261,3.215721,15.263012,2.132304,14.693389,2.875743,15.330789,5.829562,18.62206,6.4712124,19.499725,8.305086,19.735874,9.870682,20.413095
a-16,0.061290983,-0.050956648,5.9019604,10.246729,3.939724,11.639533,3.55838,14.573476,2.6181388,14.671456,2.8221478,15.779434,5.718409,18.40974,6.1430726,20.200909,8.448569,19.333395,9.915942,20.74619
a-17,2.1904256,0.64240295,5.361581,10.453864,4.5582237,12.1312,3.7492256,14.978652,2.5400686,14.685405,2.6405046,15.354124,5.9462957,18.93394,6.5042925,20.108269,7.87281,19.280043,9.388177,20.69635
a-18,2.0997598,1.6076568,5.821173,9.973041,4.4185724,11.897577,2.977351,14.412719,1.7800037,14.59555,3.1212964,15.082533,6.2842865,18.19927,6.1195803,19.401148,8.342146,18.868124,10.051862,21.15893
a-19,1.8149669,-0.26347172,5.2038317,10.627002,3.6174855,11.766126,2.9074445,14.582157,2.7038224,14.583746,2.9191344,15.897561,5.762315,17.961182,6.4976482,19.453709,8.59596,19.642147,10.011218,20.491966
a-20,1.6558641,0.33106837,5.8513527,10.551645,4.043926,12.523808,3.2314038,14.824464,2.2587578,15.017136,2.720416,15.742031,5.823748,18.300098,5.724391,20.021832,8.299659,18.865639,9.444954,20.9614
a-21,1.7383616,1.5630534,5.421121,10.057883,4.448649,12.228923,3.7963967,14.831343,2.7023416,14.631507,2.7777162,15.523196,5.925491,18.629047,6.39631,19.57829,7.8523283,19.576359,9.477342,20.483746
a-22,1.8113151,0.5206816,5.977164,10.59311,4.0060515,11.728127,3.4104345,15.1065445,2.2016253,14.3149605,2.9295514,15.503959,6.240654,18.25338,5.9228926,19.528233,7.943415,19.16416,9.813125,20.662758
a-23,2.297307,1.3076802,5.260576,10.056243,3.7428215,12.016042,3.4437447,14.390613,2.6925278,14.33674,3.2867162,15.539992,5.3813047,18.693687,5.8387084,19.880554,8.299093,19.58589,9.409008,20.300566
a-24,1.5694392,1.3741832,5.773534,10.430729,4.502598,12.443974,3.6781168,14.712704,2.04287,14.782869,2.83535,15.253558,6.228994,18.311632,6.460233,19.90888,8.347065,19.038696,9.669051,21.280293
a-25,2.7170672,-1.6487585,5.318088,10.703054,3.6082137,11.999471,3.450436,14.341569,2.561373,14.35178,3.366529,15.204563,5.471263,18.4912,6.193074,19.849762,8.493111,19.460241,9.51245,20.630045
a-26,1.4937316,1.0830147,5.6548295,9.888634,3.91768,12.518252,3.335542,14.6953335,2.1931653,14.761125,2.7556942,15.022465,5.74571,18.690594,6.408269,19.76916,7.9750185,19.212938,9.849556,21.13376
a-27,1.9579309,0.9057505,5.310553,10.523517,4.388028,12.244567,3.6004248,15.07978,2.283538,14.824148,2.6404185,15.232054,5.971444,18.771727,6.5932775,19.769337,7.817014,19.581833,9.467435,20.785713
a-28,2.5742273,0.9818091,5.351624,10.4357,4.1761546,11.63539,3.5193799,14.794234,2.2196047,14.830465,3.3519979,15.737618,6.003798,18.166122,6.521247,19.91165,8.245522,18.984755,9.875161,20.942745
a-29,2.508972,0.071387894,5.3314714,10.666701,4.009612,12.167294,2.9335818,14.852333,2.4786544,14.819072,2.9312024,15.494826,5.651936,18.033861,6.175241,19.864859,7.96667,19.166819,9.52617,20.280958
a-30,1.1705855,0.98528135,5.6197777,10.168074,3.817022,12.369934,3.3598385,15.113758,2.0248537,15.036005,2.491648,15.66878,5.642588,18.430916,6.133789,19.561762,8.228132,19.650667,9.797895,20.660088
a-31,2.1206086,1.4548005,5.7437067,10.154862,4.028635,11.929683,3.2664723,14.628439,2.2493882,14.376188,3.0523527,15.895004,5.5921783,18.817451,6.028572,19.608435,8.256738,19.243343,9.843444,20.9854
a-32,0.58335483,0.07678675,5.8161087,10.672845,4.0389357,12.511773,3.1707947,14.531177,2.5798943,14.638818,2.7797673,15.371848,5.9671297,18.172201,5.878613,20.168797,8.571678,19.241482,9.481944,20.60314
a-33,1.5970931,1.1396753,5.6577587,10.627083,4.262827,12.210731,3.1556504,14.397281,2.4666405,14.522851,3.4396894,15.382414,5.9378777,18.065552,6.0742517,19.373661,8.535519,18.909552,9.912683,21.115614
a-34,2.146299,0.77406806,5.4574714,10.592584,4.0280895,11.731883,3.2779095,14.292932,2.4929051,14.378241,2.831501,15.64499,5.784558,18.68985,6.387743,19.92903,8.492747,19.070492,9.617503,20.524502
a-35,2.0233202,-1.2196256,5.5122104,10.007637,3.8998075,12.540208,3.4226635,14.619993,2.1422994,14.36326,2.9487674,15.148496,5.691329,18.41867,6.048939,20.107294,8.010156,19.481339,9.462077,20.625402
a-36,1.714118,1.2854071,5.992558,10.384521,4.1174464,12.405899,3.2734392,15.060738,2.4773877,14.94237,2.826358,15.799084,5.782081,17.871183,6.1280913,20.174065,8.04785,19.04029,9.929712,20.867174
a-37,1.3656076,1.582762,5.376652,10.306884,3.5822084,12.163198,3.37972,14.430586,2.487878,14.395866,2.7577736,15.7990055,5.306435,18.32882,6.4333878,20.079737,8.656549,19.392382,9.742422,20.929598
a-38,2.0030742,0.4483525,5.4881473,10.311342,4.317806,11.822952,3.1564326,14.392418,2.5212054,14.96733,3.1948833,15.735548,5.648698,18.078514,6.1829295,19.606646,7.967805,19.127586,9.938026,20.56398
a-39,2.217851,1.7488679,5.3895783,9.822497,4.2238693,11.8978615,3.6765852,14.428024,2.39452,14.477526,3.1031477,15.500452,5.59097,18.66591,6.0468564,19.423409,8.254708,19.806536,9.745546,20.528217
a-40,2.6826305,0.14760149,6.033878,10.412436,4.3227215,12.406307,3.637447,14.8638315,2.7573457,14.627064,2.7502275,15.347555,5.6067657,18.595898,6.3645673,19.764227,8.030991,19.396038,9.922358,20.874954
a-41,2.7411025,0.7828185,5.3719835,10.195405,4.4133987,11.862101,3.7021363,14.5407095,2.7743597,14.585039,3.239932,15.744446,5.793699,18.897118,6.720022,19.859112,8.24468,19.35292,9.394709,20.655743
a-42,2.074183,0.76524585,5.368678,10.683055,3.920101,11.781165,3.3475163,14.375901,2.8210566,14.534941,2.7912157,15.724924,5.7285852,18.346342,5.9116335,20.225151,8.438907,19.271767,9.3029785,20.753942
a-43,1.7445569,-0.29449883,5.477708,10.661474,3.9257932,11.708013,3.643133,14.602212,2.2551665,14.216173,3.3729153,15.893361,5.943281,18.394976,6.675871,20.079374,8.664473,19.071692,9.366631,21.054565
a-44,0.71633536,-2.0661755,5.53433,10.700135,3.5772204,12.320078,3.4273825,15.0919285,2.164478,14.764331,2.5428216,15.8166895,5.6242123,18.352644,6.0560617,19.639513,8.432701,19.645668,9.637706,20.890844
a-45,2.409321,1.4402338,5.58535,10.289244,4.3760796,12.003611,3.7146897,15.107908,2.5286846,14.659847,2.898712,15.3149,5.893157,18.811323,6.491744,20.363308,7.741619,19.211273,9.4403925,20.552467
a-46,0.79733616,-0.15582031,5.5677733,9.988366,4.206369,12.509171,3.6655066,14.75505,2.1122553,14.240251,3.161023,15.25579,6.2804217,18.55625,6.135243,19.260996,7.9125905,19.198065,10.132803,21.080067
