id,t0d0,t0d1,t1d0,t1d1,t2d0,t2d1,t3d0,t3d1,t4d0,t4d1,t5d0,t5d1,t6d0,t6d1,t7d0,t7d1,t8d0,t8d1,t9d0,t9d1,t10d0,t10d1,t11d0,t11d1,t12d0,t12d1,t13d0,t13d1,t14d0,t14d1,t15d0,t15d1,t16d0,t16d1,t17d0,t17d1,t18d0,t18d1,t19d0,t19d1,t20d0,t20d1,t21d0,t21d1,t22d0,t22d1,t23d0,t23d1,t24d0,t24d1,t25d0,t25d1,t26d0,t26d1,t27d0,t27d1,t28d0,t28d1,t29d0,t29d1,t30d0,t30d1,t31d0,t31d1,t32d0,t32d1,t33d0,t33d1,t34d0,t34d1,t35d0,t35d1,t36d0,t36d1,t37d0,t37d1,t38d0,t38d1,t39d0,t39d1
d0.95lr0.1-0,36.834915,48.971367,-106.05008,-106.31031,-281.66483,180.7295,53.746685,-44.230625,92.139854,-66.05144,72.291435,-103.627464,12.756651,-42.026505,-53.65661,-168.28946,-2.5007083,-55.52463,79.288925,-47.240116,9.032717,-18.701284,44.178658,-27.458406,41.837315,-27.583727,89.18345,61.24781,68.17968,-57.8487,111.78884,20.083216,87.222336,-45.89178,97.60908,8.579445,111.46252,28.449951,-24.642153,-33.02574,73.58169,-25.733976,64.67601,-29.958946,-9.44489,91.86774,47.31664,2.285385,-53.49476,-34.665054,121.98815,-10.747122,51.769688,-36.163254,162.05934,52.731125,55.62137,-3.122901,48.144875,-34.75039,69.838745,285.76816,49.771126,-1.7150135,67.73563,-14.791654,79.04003,1.8555238,97.270645,-27.071383,65.07171,-6.191047,177.9441,172.16934,115.05879,-28.72004,68.35993,-40.552505,-13.022907,-28.612467
d0.95lr0.1-1,-47.323246,-50.690037,83.893135,-35.826912,13.538343,-69.213875,74.81343,-133.90155,103.30998,-43.54062,72.849106,-21.16333,-234.09772,-107.118225,82.73844,-101.59863,36.447296,-33.965298,125.992516,-66.81438,96.762024,2.1738896,87.91452,-14.938345,83.90868,23.363688,59.42028,-25.88562,73.45388,-32.291893,-2.6038857,-39.318577,16.779076,-109.75438,75.086494,-37.332264,209.68248,-70.332825,48.600636,-19.968012,82.57925,71.7396,47.01375,77.435745,64.840164,-40.817604,-5.7051992,-19.013212,44.176884,-39.24178,6.1578183,-6.685127,32.12099,-28.683422,114.052055,3.4473839,99.75826,8.341613,34.6261,-34.26473,68.48188,28.48861,29.997879,-4.7618427,58.901676,30.562954,-191.37614,173.08273,-12.075613,-124.53126,51.243717,-6.287569,176.7994,-71.990944,7.256544,6.0236545,91.37863,10.438211,48.367584,-26.036074
d0.95lr0.1-2,66.21977,87.761856,-203.01021,242.79707,-45.955524,-277.6615,-73.246925,69.11525,-40.09303,-31.665016,28.014532,-87.26911,80.50553,87.09459,26.618277,-77.10773,47.35886,-36.72422,60.382656,-23.576754,73.11241,-20.62444,80.46933,-35.108868,72.1378,-13.620389,94.43691,-29.458399,44.22579,-10.111574,-1.4833333,-73.06581,89.0457,55.613052,63.60783,-42.65116,46.19226,-39.57389,70.36133,48.065647,57.25208,-9.161293,11.699668,-157.76271,-12.736164,45.865433,42.232567,-30.145285,79.76434,-36.419685,-102.15695,-51.98749,76.2764,-31.016768,12.853395,-55.678444,58.82482,-16.408186,12.603099,-19.784924,125.94543,-4.598018,192.79614,363.61014,107.423294,-14.425465,37.36185,75.242836,52.81946,-35.204773,70.88033,59.392548,55.07731,12.114557,109.14698,24.956436,87.96358,-65.319664,145.4633,-14.261353
d0.95lr0.1-3,10.47618,-39.076733,137.84981,-70.700195,-92.82085,-459.02225,-85.9589,-103.18098,19.897224,84.290855,85.26406,-27.569664,93.04704,42.198544,82.39772,101.17466,53.095634,-17.73774,53.08697,-61.542408,75.63792,-36.103275,60.047943,-8.936697,59.030106,-11.517458,85.71211,109.605705,74.0025,-21.382223,21.131071,-98.91437,55.338646,-48.75689,52.92982,-39.617374,-1.3220992,-11.469835,78.5787,-12.242276,53.167038,-38.18945,67.122116,3.3638623,-26.74315,-116.80042,89.43382,-36.476738,123.430855,-17.178818,105.66129,-18.844805,62.940193,-38.55664,-60.627586,-99.74453,49.562057,75.90377,30.108803,43.363556,78.10346,138.24681,4.016977,-55.73168,95.02118,-22.20131,14.3544445,-122.73237,36.767,-50.705597,72.31136,6.05566,103.37404,-73.66675,101.74807,-64.568954,81.24993,-6.4240756,-63.721912,-112.42902
d0.95lr0.1-4,71.64552,43.11667,50.86958,79.90745,60.112514,32.581078,47.611137,13.02393,6.282299,-2.3984041,-17.39751,-74.11971,58.170536,-41.50282,-82.84732,-130.37434,38.679047,117.25718,54.327156,-115.49103,64.47814,-31.128466,29.057392,-8.656011,57.937805,-54.35265,79.66686,-24.830807,33.80848,-16.04632,41.854572,-43.584415,60.343082,-26.20845,118.92149,-31.038958,1.7346804,35.50376,61.01221,-33.2511,40.18842,-45.95748,100.42448,-57.40424,130.29799,-125.270645,40.61187,-12.258222,46.76673,184.84308,53.586018,177.3827,75.03608,-19.02033,57.434628,-13.845578,270.2028,66.85998,91.97998,9.338786,54.51275,90.76666,74.57796,11.562431,62.15697,4.2678,91.96343,-5.9314375,39.459652,-26.824568,-304.59854,90.10414,82.24183,-8.528638,31.126448,-104.77303,43.590157,70.04627,337.81827,77.475655
d0.95lr0.1-5,53.279057,12.715218,139.8651,24.629257,75.36368,32.824444,135.73676,23.364893,23.219105,67.401886,69.2446,-45.11369,69.03922,-19.19647,63.200996,-86.996376,67.15941,-32.01941,39.81316,-18.294085,64.465164,-44.842796,73.47565,-24.943066,64.154434,-21.264767,107.85044,14.628,61.964993,-6.0483093,61.206448,-192.06903,221.57681,-265.90997,61.868706,-31.026138,-49.166996,85.13903,63.94156,-21.317396,66.57077,152.8079,78.531006,12.46147,52.297527,-24.440208,-196.2204,-146.61273,80.516304,-24.13292,67.08125,90.46405,22.73441,-39.4662,2.3850336,102.77662,69.7671,-22.325686,-355.37115,278.81033,13.015208,-89.79298,79.218025,-13.161033,167.54478,-141.48294,304.0878,-208.17892,-49.426582,-6.819525,36.47587,-34.61752,80.81988,5.063147,52.36121,-16.101229,36.81201,4.2352533,90.73373,0.13817355
d0.95lr0.1-6,14.983467,-8.821889,1.5029156,52.56468,172.3068,536.3944,51.39198,-23.257036,80.74214,84.028366,66.60219,-31.13479,29.637606,-84.62125,-404.5225,-39.87302,31.960217,-63.052086,-73.127426,29.049698,-51.016846,18.150942,-254.04744,22.539793,57.41784,-31.907955,50.4139,-32.60229,41.903503,-26.743717,21.216055,59.902966,65.265495,-56.198135,47.715984,-61.38082,2.7488306,49.309155,57.52445,0.14327553,102.68068,20.751263,-69.01679,-88.700836,65.179184,-52.274002,75.139465,-39.830456,39.135902,-53.45325,72.41997,59.505135,80.96996,-53.30955,-87.575005,-5.064628,74.6576,-33.997597,50.536747,-20.406378,69.2529,1.4494109,-98.064445,-82.3645,100.01851,-1.3269277,43.88537,-20.823341,131.75252,-59.73149,62.75463,-31.885616,173.94064,25.674824,44.98563,38.642677,68.84807,76.85889,45.180557,4.41255
d0.95lr0.1-7,-124.20894,-40.564648,23.72121,23.382029,33.22099,-86.805695,60.30077,-148.87749,77.49694,-31.447746,62.79886,-19.141924,45.371353,-37.661777,69.185585,-25.648325,46.4383,-47.28532,65.53177,-178.31503,51.996822,-28.174858,76.858246,-15.0631895,77.65891,-23.272594,78.15313,-12.178708,52.769703,-39.257824,51.618423,47.13939,73.03117,-46.13089,72.684044,-25.981361,50.063877,-76.16167,60.19676,19.054235,98.07485,35.319653,37.11918,-207.15417,52.29379,-49.214035,76.340706,-18.484137,102.23359,38.424644,61.00935,-16.05038,55.445496,-25.549868,66.17822,-25.198605,85.06046,6.311451,63.807934,-57.118366,81.30445,-29.877045,56.798096,-52.119286,49.591038,50.13016,10.479414,-9.643247,76.55312,34.313126,82.95833,-1.8080122,69.26344,12.23927,-193.54222,-259.14594,62.413296,-7.3404465,67.78046,-10.239037
d0.95lr0.1-8,91.032295,-56.832664,163.90364,-12.081559,96.63945,-59.04012,85.51206,-16.89061,-71.48427,72.954185,92.55338,-15.693134,55.232624,-25.66454,81.7398,-17.291842,57.78904,-43.532993,68.169914,-33.954178,53.943085,-55.89329,70.96728,-6.0668626,67.31509,90.52255,60.753857,-40.99683,-31.725145,173.6046,-82.41824,93.58876,65.202866,-37.09099,146.93434,8.026527,94.00963,-10.730195,78.12502,61.978283,62.011345,-30.01843,58.61699,-75.156334,62.99033,-19.019,-140.92812,22.484707,164.39287,-96.3794,73.38224,-13.898697,100.0978,0.48844233,-39.423767,57.050003,44.48454,120.30275,21.414982,-60.497047,64.758736,14.068544,267.43506,-157.37123,-27.759907,33.769714,136.23448,68.69284,-121.90344,7.685021,58.89751,-18.602087,-10.113464,1.5690858,56.47846,-32.153347,103.441925,-6.1488895,82.15993,-18.5153
d0.95lr0.1-9,-79.97952,-39.99016,71.56879,91.09046,31.5576,191.90889,99.54311,-275.71964,24.917217,-22.128214,86.856575,-38.754116,44.190495,0.3836829,29.118053,-62.268627,43.314053,-25.491549,25.954403,-68.537964,18.48183,-95.719406,65.17779,-44.553413,53.160995,30.209232,70.08133,-30.785114,62.366814,-32.951344,54.76255,-16.78827,63.058636,18.115837,67.944725,-2.70343,77.92723,-32.750954,47.15273,-3.872847,46.084896,-8.464306,51.851524,51.410557,52.980324,-36.15032,49.32288,-21.171228,90.59905,-0.6829848,46.493877,35.85495,65.83914,-27.143135,72.92364,-51.79876,50.195774,-24.561493,67.636314,26.85414,-144.26671,28.103018,208.86041,16.103416,-26.401379,-55.138065,-23.626892,-162.24045,102.99351,-49.339844,87.1818,-28.689217,33.98251,48.725903,-88.039566,-42.078182,71.938515,-1.1454681,61.507202,160.22937
