id,t0d0,t0d1,t1d0,t1d1,t2d0,t2d1,t3d0,t3d1,t4d0,t4d1,t5d0,t5d1,t6d0,t6d1,t7d0,t7d1,t8d0,t8d1,t9d0,t9d1,t10d0,t10d1,t11d0,t11d1,t12d0,t12d1,t13d0,t13d1,t14d0,t14d1,t15d0,t15d1,t16d0,t16d1,t17d0,t17d1,t18d0,t18d1,t19d0,t19d1,t20d0,t20d1,t21d0,t21d1,t22d0,t22d1,t23d0,t23d1,t24d0,t24d1,t25d0,t25d1,t26d0,t26d1,t27d0,t27d1,t28d0,t28d1,t29d0,t29d1,t30d0,t30d1,t31d0,t31d1,t32d0,t32d1,t33d0,t33d1,t34d0,t34d1,t35d0,t35d1,t36d0,t36d1,t37d0,t37d1,t38d0,t38d1,t39d0,t39d1,t40d0,t40d1,t41d0,t41d1,t42d0,t42d1,t43d0,t43d1,t44d0,t44d1,t45d0,t45d1,t46d0,t46d1,t47d0,t47d1,t48d0,t48d1,t49d0,t49d1,t50d0,t50d1,t51d0,t51d1,t52d0,t52d1,t53d0,t53d1,t54d0,t54d1,t55d0,t55d1,t56d0,t56d1,t57d0,t57d1,t58d0,t58d1,t59d0,t59d1,t60d0,t60d1,t61d0,t61d1,t62d0,t62d1,t63d0,t63d1,t64d0,t64d1,t65d0,t65d1,t66d0,t66d1,t67d0,t67d1,t68d0,t68d1,t69d0,t69d1,t70d0,t70d1,t71d0,t71d1,t72d0,t72d1,t73d0,t73d1,t74d0,t74d1,t75d0,t75d1,t76d0,t76d1,t77d0,t77d1,t78d0,t78d1,t79d0,t79d1,t80d0,t80d1,t81d0,t81d1,t82d0,t82d1,t83d0,t83d1,t84d0,t84d1,t85d0,t85d1,t86d0,t86d1,t87d0,t87d1,t88d0,t88d1,t89d0,t89d1,t90d0,t90d1,t91d0,t91d1,t92d0,t92d1,t93d0,t93d1,t94d0,t94d1,t95d0,t95d1,t96d0,t96d1,t97d0,t97d1
bubble-0,-4.619255,1.1798873,-1.8236934,0.7198389,-0.7345193,-2.6297102,-2.615812,0.8920451,0.7355842,2.0596428,3.553529,2.703568,2.5121675,6.817869,-0.36282822,7.175469,-1.0385194,13.38204,-3.4672513,17.712893,-1.5541141,21.035257,0.20285381,26.198244,7.2998295,24.466688,4.7282662,22.83878,3.5203626,26.362661,0.52588,30.184988,-0.3914539,37.047363,-2.3493605,26.661379,-4.2982917,25.818762,-9.339703,20.226374,-7.5366645,18.208233,-15.910614,15.428913,-22.819168,16.940214,-23.451334,14.140581,-25.37705,15.737889,-30.591522,12.102199,-36.34882,15.910457,-35.670757,15.268022,-31.423246,17.404972,-24.968332,16.073572,-18.84956,22.909147,-17.929976,27.144218,-18.45846,27.370075,-17.8544,31.365171,-14.804751,27.325687,-18.039114,32.45354,-17.721725,28.603506,-18.941786,24.417053,-19.04334,25.16404,-16.16112,32.179733,-13.419831,29.59819,-11.918597,28.635921,-13.229511,32.255062,-7.0308447,34.71863,-5.3122125,35.946915,-3.1167464,29.409866,-0.32476956,28.914408,-6.5124874,28.56058,-10.144357,27.127962,-10.587839,23.81829,-10.850985,30.754702,-16.357674,28.840502,-21.345793,31.57587,-22.41353,32.00807,-24.79123,35.0759,-24.46865,24.82331,-21.207,26.857449,-19.737103,25.176401,-24.637266,27.371696,-25.5821,24.041533,-23.254663,23.850481,-19.61845,30.85634,-23.370705,26.470324,-20.04301,23.231388,-20.439941,25.003143,-15.739458,25.728214,-10.972988,25.488083,-1.7254637,16.711836,-1.9439963,13.749105,-6.1035113,19.142965,-9.352728,19.339312,-6.1126294,20.248697,-9.16515,25.588911,-11.500226,26.274406,-14.397768,25.647064,-10.745256,32.748127,-8.474122,25.523232,-3.2792883,33.943317,-15.191304,22.804266,-11.891798,25.460426,-12.422058,15.234256,-10.748713,13.465932,-13.939555,16.419014,-10.700613,11.918733,-7.136085,5.6406074,-12.528801,5.3884687,-10.330085,0.29661176,-3.3350325,2.4409904,-9.355148,-0.08981198,-16.878685,-0.46689463,-17.874954,3.2003598,-19.847717,6.4754033,-26.640423,2.2231257,-26.54176,-6.4784784,-32.13638,-11.787826,-32.80485,-13.511,-38.15691,-19.739374,-36.867813,-25.794981
bubble-1,-4.331593,0.6547749,-2.2338989,0.72693366,-0.90878457,-2.853994,-2.7284741,1.3056831,1.6199176,1.9396988,3.40891,2.9073877,2.3107913,6.6702704,-0.56528145,6.7428584,-1.4663919,13.779281,-3.2960458,18.594296,-1.0680016,20.393211,0.34783578,26.925764,7.513626,25.495678,4.7167697,23.177275,3.8170269,26.564524,0.45974106,30.818727,-0.41910663,37.05705,-2.541799,26.757406,-3.9562736,24.870096,-9.722096,20.57553,-7.367785,18.052778,-17.06402,15.209899,-23.352955,17.274824,-23.526335,13.631577,-26.366096,15.377013,-31.44751,12.016777,-36.746223,16.269913,-37.225544,14.592444,-31.53828,16.447807,-25.97941,15.914559,-18.427036,22.832626,-18.08849,27.711025,-18.187868,26.787233,-18.207897,31.635803,-14.450766,27.548029,-18.081354,32.235794,-16.809555,28.42973,-19.189734,25.357029,-19.55343,24.61618,-16.67931,32.185192,-13.693745,30.481113,-12.115905,28.39662,-13.68868,31.526665,-6.1267953,34.575706,-5.449452,35.51999,-3.0824459,29.60551,0.39699048,29.225348,-6.6367264,28.961514,-10.332119,27.023657,-10.276924,24.324516,-11.181829,29.83528,-15.284269,28.248577,-21.837791,32.04617,-21.897055,32.89678,-24.931986,34.795506,-24.209888,25.217518,-20.86301,26.760078,-18.933708,25.024557,-24.759537,27.076426,-25.24991,23.89649,-23.389513,24.027338,-19.83995,31.070314,-23.883242,26.503565,-20.234531,22.998543,-21.367773,24.793276,-15.227401,26.348083,-10.571281,25.366587,-1.0111486,16.845903,-1.8753504,14.515929,-6.214209,18.243372,-9.854102,19.718256,-6.700336,20.079626,-9.402336,25.869402,-10.97252,25.965525,-14.230225,25.954647,-11.003446,32.77812,-8.804458,25.147255,-3.6198974,33.728638,-14.8581085,23.27171,-11.579989,25.667469,-12.139401,15.169566,-11.411395,13.1998625,-13.698568,16.293549,-10.607262,12.37577,-6.953806,6.4037905,-12.266748,5.7630963,-10.244245,0.91975474,-3.2747269,2.3795812,-8.903112,0.23309842,-16.092445,-0.05397529,-17.258007,2.4349113,-20.33903,6.7295966,-26.024427,1.6847769,-27.179947,-6.831052,-32.310436,-11.432453,-32.569138,-13.604627,-37.84699,-19.72524,-37.329456,-25.95448
bubble-2,-5.5553727,0.5484446,-3.401266,0.73646426,-1.8995925,-2.451966,-3.7892482,1.2756395,1.0461633,4.4540563,1.5896132,2.7686603,1.5668886,6.9119835,-1.5400332,5.7897196,-2.5342615,12.273832,-2.5774715,19.622831,-0.9131647,19.502092,-0.4430943,26.971308,6.958445,25.320763,5.143645,23.321125,3.9458113,27.565844,1.0762638,30.398329,-0.13955475,36.86499,-1.9834265,25.952019,-4.1761594,25.016,-8.973796,20.322977,-6.5199223,16.73794,-16.407902,15.14116,-23.14116,16.536514,-24.419601,13.59137,-26.14746,16.521816,-31.275072,11.398244,-36.800034,16.876053,-36.63036,14.612167,-31.569286,16.390495,-25.386219,16.18493,-17.822742,22.764599,-17.696472,27.072918,-18.370821,26.288795,-18.597933,31.79645,-14.614491,27.73963,-18.180723,31.914461,-17.698015,28.732695,-19.000664,25.189838,-19.354221,24.974451,-16.965921,32.45957,-13.417011,30.242735,-12.455547,27.969185,-13.070981,31.413157,-5.3983707,34.38557,-5.297777,35.949852,-2.9918427,28.931057,0.449685,29.694475,-7.155024,28.955355,-9.818766,26.140808,-10.790062,24.337948,-10.578447,30.203072,-15.957375,28.857693,-21.986593,31.517189,-22.93369,32.52539,-25.523756,35.340183,-24.8552,24.851198,-20.969065,27.544868,-19.43433,25.011213,-23.98021,26.766468,-24.646212,24.086674,-22.992111,24.382668,-19.334927,30.229282,-23.294477,26.697454,-19.665676,22.910934,-21.004143,25.582666,-16.025005,25.653847,-10.819274,24.382954,-1.1066539,17.170013,-1.3767937,14.295043,-6.293913,19.188612,-9.615059,19.785389,-6.795188,19.943794,-9.325582,25.404459,-11.559107,26.113045,-13.529778,25.495758,-10.46983,32.055676,-8.629314,25.348648,-3.126136,34.006462,-15.55996,22.418348,-12.56708,26.354734,-12.240983,15.648246,-11.03158,13.951178,-13.818456,16.838926,-10.8273945,11.850545,-6.7780175,6.498134,-12.0975485,4.948644,-10.860465,0.42138985,-2.5825732,2.9921138,-9.385793,0.7435033,-16.489542,-0.3255525,-17.21533,2.8295112,-20.8708,6.9492803,-25.748941,2.1404338,-26.910164,-7.045399,-32.577774,-11.594068,-32.542015,-13.035554,-37.492622,-19.460745,-37.266075,-26.302113
bubble-3,-5.814654,0.88436496,-3.842265,0.62390023,-2.09511,-1.0141548,-4.121483,1.0059239,0.7253659,4.44302,1.8128843,2.204162,1.7185336,6.6608744,-1.8538119,5.936696,-2.1189828,11.796666,-1.814189,18.020054,-0.95152587,19.215837,-0.6182098,26.819038,6.7163353,24.957052,4.84036,23.316149,4.3994775,27.806473,0.17931232,30.491554,-0.015947558,36.758907,-1.3764482,25.97113,-4.27253,24.630297,-9.293518,20.780785,-6.51767,16.899078,-16.32564,15.04499,-23.907862,16.796852,-24.98385,13.873792,-26.68094,15.625693,-31.569721,10.962475,-37.225864,16.689268,-36.66868,15.123329,-32.00909,16.10498,-25.700687,15.733549,-18.54916,23.329638,-17.065357,28.043253,-18.103603,26.311794,-17.527712,31.466303,-15.246889,26.689829,-18.102835,31.494774,-17.449677,28.148863,-19.340157,24.609358,-19.304613,24.20348,-17.260773,31.432312,-13.307006,30.19131,-12.860355,28.268784,-13.81904,32.17798,-5.9150453,33.894657,-5.6999936,34.714706,-2.5945237,29.564037,0.98018855,29.854109,-7.0111957,28.99722,-10.384689,26.59676,-10.553238,24.901627,-10.621448,30.080717,-15.739483,28.127243,-20.7958,31.654224,-22.503548,32.949856,-24.932295,34.943733,-25.118986,24.93375,-21.013567,26.872005,-18.904293,25.452036,-24.180792,27.018358,-24.876041,24.227777,-22.937517,23.718777,-19.910177,30.285294,-23.419083,27.116892,-20.203375,23.377193,-21.397718,25.44647,-15.89249,26.351473,-10.617113,24.916658,-1.2121874,16.579262,-1.7712954,14.780514,-6.2706957,19.086739,-10.228993,19.773556,-6.7634096,20.164389,-9.809728,25.413774,-11.373156,25.765818,-14.09953,25.399906,-10.999841,32.43081,-8.410012,24.89179,-3.4695818,34.131317,-14.878952,22.992744,-11.71997,26.133404,-12.193493,15.911655,-10.95248,13.31199,-13.804016,16.00455,-10.5273,12.169381,-6.7318034,6.119827,-12.294281,5.3891854,-10.901341,0.7189102,-3.0097764,2.7477663,-9.532687,0.3356048,-16.265656,-0.063337475,-17.099607,3.1016266,-20.64316,6.7734675,-25.521837,1.7881103,-27.26017,-6.5250783,-32.70208,-11.40354,-32.258705,-13.423854,-37.949566,-19.394897,-37.45804,-26.4658
bubble-4,-2.560907,1.6741058,-2.4761791,0.6098639,-0.8144114,-2.427672,-3.4739017,0.2783712,1.7938157,3.3580747,2.6086328,2.88561,1.184429,8.53704,-1.073828,6.7291346,-1.6828657,13.331072,-2.496456,19.26757,-1.5989851,19.919767,0.798032,26.925533,7.5131702,25.063341,5.0329447,22.035751,3.691196,25.943525,1.5347295,30.464,-0.65951055,36.824734,-1.8740771,26.105072,-4.0546303,24.933046,-8.891835,20.056303,-5.991324,17.208511,-16.690115,15.5691395,-23.052073,17.169012,-24.199772,14.1340475,-25.63462,16.569468,-31.28398,11.590721,-36.66862,16.389769,-36.82044,14.842849,-31.40335,16.299776,-25.352,16.172472,-17.981056,22.988583,-17.373962,27.299765,-18.051208,26.463366,-18.471085,31.177643,-15.104747,27.59121,-18.31368,32.0765,-16.81383,28.657251,-18.680952,25.044813,-19.460632,25.005693,-16.392988,31.512375,-13.498298,29.811398,-12.337767,28.30826,-12.876833,31.756807,-6.3549056,35.122646,-5.25764,35.186234,-2.867274,29.021702,0.6011613,29.402895,-6.7126274,28.714048,-10.02931,26.307903,-10.412882,24.396032,-10.710019,30.233347,-15.781085,28.72089,-21.813606,31.593885,-22.879454,32.38599,-25.075773,35.414764,-24.914118,25.273432,-21.17507,27.366762,-19.313822,25.453772,-24.023186,26.66128,-24.801157,24.468292,-22.83004,24.208874,-19.476608,30.332237,-23.031595,26.524675,-19.944475,22.885126,-21.02107,24.986494,-15.86959,25.700026,-10.5505905,25.453674,-1.2027569,17.5044,-1.5848023,14.1146145,-5.690155,18.746712,-9.405557,20.231153,-6.325132,20.769762,-9.213522,25.084913,-11.147455,26.54001,-14.08938,25.510443,-10.208272,32.612103,-9.244662,25.21589,-3.0464435,33.622562,-15.065159,22.419416,-12.881173,26.10448,-12.840847,15.301674,-11.313046,14.0653105,-13.35957,16.866585,-10.569475,11.574343,-7.452958,6.149289,-11.820248,5.5393624,-10.614704,1.267034,-2.7404737,2.2954307,-8.710033,0.5427531,-16.51365,-0.2932285,-17.391218,2.981054,-20.205141,6.9814005,-26.192032,1.2674575,-26.699678,-7.094238,-32.846252,-11.939899,-33.156998,-13.349602,-37.63674,-18.95997,-37.349297,-25.895983
bubble-5,-4.9081774,2.6355326,-3.1081424,1.0690787,-1.7718704,-2.1645782,-3.7853508,0.66876715,-0.8262528,3.536993,2.7185166,2.1209652,1.4592149,7.512853,-1.4534411,6.309201,-2.1676705,12.531679,-0.7415908,18.319876,-1.1524681,18.949669,-0.6748688,26.768095,6.794438,25.50438,4.5993905,23.668276,4.816246,27.730648,0.557702,30.685118,-0.14772028,36.69252,-1.5568155,26.06001,-4.454179,24.279367,-9.647122,21.136875,-6.6732745,17.124174,-16.63404,15.906134,-23.993313,17.364256,-24.290878,14.735572,-26.654346,15.590606,-31.785648,11.36635,-37.10269,16.420477,-36.44857,15.034764,-31.878199,15.912344,-25.27132,15.449684,-18.147797,23.310698,-17.256237,27.84309,-17.806433,26.369173,-17.733274,31.08713,-15.040792,26.976809,-18.597246,32.42623,-17.514238,27.84469,-19.27419,24.699633,-18.753939,24.511791,-17.300858,31.868576,-13.041147,29.925703,-12.801858,28.415318,-13.3258,32.090694,-5.8696065,33.440746,-5.8244057,35.205704,-2.6002834,29.618656,0.8492734,30.00962,-6.3259068,29.139502,-9.684545,26.40608,-10.329877,24.655796,-10.409237,29.811468,-15.146829,28.805567,-21.421757,31.69286,-22.495298,32.716232,-25.725674,34.79635,-24.211609,24.979994,-20.841873,26.93242,-19.113203,24.866545,-23.870583,27.551178,-24.660479,23.844358,-22.87369,23.415596,-19.739645,30.31305,-23.28776,26.889238,-20.660093,23.205982,-20.762388,25.389626,-15.534771,26.207115,-11.119101,24.410631,-1.0460609,17.04193,-2.2516236,14.226944,-6.3537774,18.943872,-9.473042,20.278145,-6.375664,20.448112,-9.370344,25.557928,-11.096097,25.9222,-13.729341,25.635841,-10.100028,32.40414,-8.360493,25.82607,-2.7127047,34.16677,-15.007984,22.394167,-12.411806,26.08471,-12.42712,15.663657,-11.234355,13.727909,-13.336901,16.267132,-10.666332,11.738291,-7.2344007,6.436282,-11.802374,5.425172,-10.632858,0.8383784,-2.5428767,2.6218739,-9.094143,0.33639055,-16.561403,-0.47703987,-17.622522,3.3040347,-20.554508,6.943474,-26.024422,1.9143939,-26.811697,-6.937278,-33.03195,-12.066316,-32.71784,-13.393593,-38.254307,-19.10599,-37.05224,-25.972916
bubble-6,-2.197851,2.322,-1.9876077,1.5448202,-1.3134431,-0.4823788,-3.379878,-1.0291257,1.423217,3.5826492,2.3467383,3.3479593,1.6468508,7.174623,-1.3401785,6.987836,-2.546923,12.795675,-2.2796876,19.5305,-1.0269808,19.662012,0.86948586,27.160366,7.2992005,25.09871,5.290091,22.86116,3.9750524,27.01101,0.8505147,31.11943,0.30536586,36.89644,-1.8937765,26.432915,-4.047899,24.452948,-9.145624,21.039255,-6.9189253,17.610907,-16.865927,15.850525,-23.871187,16.529867,-24.75536,14.080116,-26.70814,16.560553,-32.26409,12.0623665,-37.01032,15.7788515,-35.962128,15.080684,-31.45251,15.840191,-24.909826,15.700494,-17.565594,23.27112,-17.697628,27.871864,-18.491497,26.733229,-17.943552,31.855982,-14.302101,27.514856,-18.54823,32.238495,-16.972147,28.614136,-19.380331,24.86722,-19.130781,24.476015,-17.145666,31.773046,-12.809502,30.235096,-12.493737,28.465878,-13.4492235,31.580719,-5.821209,33.9918,-5.936726,34.973255,-2.2917945,29.505644,0.6085265,29.74516,-6.9970818,29.47251,-9.887907,26.474833,-10.269599,24.723303,-10.4129715,29.86799,-15.130796,28.43764,-20.915228,31.943653,-22.069853,32.67032,-25.11831,34.554634,-24.56821,25.057789,-20.77656,27.004326,-19.07046,24.928013,-24.453043,26.642696,-24.954977,24.028685,-23.134802,23.676786,-19.972168,30.427624,-23.868038,26.856045,-20.53473,23.748077,-21.402647,25.15793,-15.659164,26.152609,-11.2023535,24.98525,-1.0805804,16.40847,-1.878329,14.951603,-6.445759,18.487696,-9.951283,20.135927,-6.544928,19.948265,-9.628824,25.552443,-11.1677475,25.548336,-13.874385,25.374367,-10.648999,32.126373,-8.364805,25.012709,-3.4978528,33.891926,-15.129913,22.95056,-11.88473,26.060112,-12.044085,15.537378,-10.822012,13.46609,-14.095412,16.234024,-10.50575,12.228897,-6.6990705,5.989164,-12.511201,5.466628,-10.918078,0.7104121,-2.9971888,2.5794067,-9.468105,0.43357876,-16.693348,-0.02023676,-17.227629,2.9140246,-20.777645,6.41016,-25.466808,1.7889448,-27.059574,-7.05019,-32.831528,-11.016052,-32.16412,-13.454702,-37.729305,-19.334457,-37.274387,-26.64132
bubble-7,-5.3081055,3.2886188,-3.6527882,1.7643683,-0.32394245,-2.9720936,-2.13157,0.94086736,0.6658968,2.2799172,3.3835208,3.693687,2.4433155,8.380907,-0.7274112,8.007931,-0.7581333,13.903703,-2.361403,18.734486,-1.9614911,20.241554,0.2887596,26.19931,8.347772,24.589317,5.979398,22.19074,4.09654,26.255363,1.7944086,30.567265,-0.14643276,38.244427,-2.9433627,26.539482,-4.0951624,25.554838,-8.565216,21.017899,-8.267811,18.555538,-15.7248125,16.641369,-22.635607,16.309061,-23.800684,13.574114,-25.927158,15.466639,-30.693264,11.426956,-36.075775,15.958206,-36.713634,14.305399,-30.626808,15.8481655,-25.23166,16.918644,-18.072025,22.124681,-17.603167,26.682032,-18.404114,25.98314,-18.491207,31.284075,-15.371822,27.644476,-17.232178,31.888023,-17.433102,29.019236,-18.707586,25.540245,-19.593174,25.49979,-16.210764,32.662647,-13.958532,30.267942,-11.580885,28.951485,-12.5231,31.850695,-6.234372,34.32541,-5.953255,35.56747,-2.487022,29.14341,-0.27897137,29.545277,-6.305889,28.759024,-9.406006,26.523476,-10.126362,23.804926,-11.032712,29.613998,-16.42435,28.330284,-21.228241,31.78938,-22.693714,32.231903,-25.352842,35.031895,-24.415295,25.420424,-21.12335,27.35076,-19.521496,25.545145,-24.510933,27.1413,-24.361492,23.947044,-23.299608,24.41714,-19.472708,30.888435,-22.79446,26.223927,-20.040297,22.766392,-20.82348,24.973434,-15.072245,25.652071,-11.086885,24.696745,-1.432039,17.316545,-1.6238059,14.2725315,-6.066985,18.696085,-9.45749,20.037708,-6.286393,20.482637,-9.0525255,25.317366,-11.669491,25.982277,-13.353529,25.827047,-10.259865,32.485706,-9.117982,25.379898,-3.0387669,34.00025,-14.923625,22.764019,-12.177397,25.725023,-12.732424,15.667554,-11.229723,13.7451725,-13.542994,16.35601,-11.105795,11.875686,-7.3620825,6.2993755,-11.949906,5.588623,-10.57636,0.73776007,-3.218623,2.04908,-9.154079,0.22245352,-16.625723,-0.5399084,-17.746609,2.7583396,-20.582438,6.539247,-26.23615,2.1229727,-27.319326,-6.8602676,-32.70537,-11.828049,-32.674953,-13.66484,-37.956493,-19.273119,-36.852737,-26.176956
bubble-8,-4.6918607,0.4228736,-1.9249047,1.1656876,-0.9330915,-2.0441036,-3.2253656,0.87445194,0.92034537,1.3805209,2.2058728,2.8342705,0.9731897,7.082152,-0.94640225,7.171365,-1.5204705,12.45992,-2.6017377,18.97564,-1.4957619,19.787199,1.0762576,26.855455,7.2762566,24.784086,5.35679,22.81774,4.3879085,27.02159,1.4001658,30.538912,-0.4790416,36.28365,-1.9474921,27.021023,-3.7365158,25.051641,-8.782604,20.907238,-6.3962765,17.6194,-16.623621,16.24325,-22.716236,16.7191,-23.894472,14.16746,-25.582144,16.28756,-30.93217,11.744457,-37.095352,15.587941,-36.186535,15.505895,-30.986853,16.269346,-24.676842,16.45191,-17.630695,22.48125,-17.983025,26.56166,-18.791302,26.436785,-18.18884,31.072384,-15.068314,27.86102,-17.801981,32.18246,-17.234093,28.687517,-18.893272,24.872768,-19.491716,24.92138,-16.471516,32.35751,-13.924474,29.753128,-12.494972,28.765934,-13.20745,31.86461,-5.7788453,34.533287,-5.2184596,35.730137,-3.1788216,29.414656,-0.07528095,29.36045,-6.7128215,29.073341,-9.638162,26.896952,-10.542428,23.971743,-10.815352,30.384966,-15.974978,28.42443,-21.575958,31.920887,-22.533699,32.497494,-25.120445,35.198994,-24.641232,24.821379,-21.40339,27.149141,-19.60413,25.470434,-24.30689,26.761286,-24.806452,24.165228,-23.228268,24.053015,-19.279171,30.426586,-23.177279,26.45789,-19.991373,23.148687,-20.854979,25.265778,-15.689203,25.844875,-11.266711,24.758133,-1.3969649,16.956997,-1.7602721,14.151405,-5.925571,18.898579,-9.576333,19.701525,-6.0930614,20.012856,-9.361674,25.15331,-11.357005,26.292294,-13.964898,25.809214,-10.451332,32.50233,-8.840022,25.489452,-2.8880045,33.854137,-15.309401,22.565285,-12.507216,25.985197,-12.40449,15.748975,-11.078246,13.7514305,-13.670046,16.69529,-11.086436,12.249257,-6.9040985,5.8626046,-11.946224,5.102603,-10.492444,0.6369346,-3.0334978,2.448378,-9.085416,0.88559395,-16.492188,-0.70472956,-17.774303,2.8116946,-20.791636,6.7434297,-25.996351,1.6221246,-26.978788,-6.7583327,-32.43087,-11.881345,-32.810425,-13.149451,-37.563972,-18.948862,-36.94729,-26.013649
bubble-9,-3.2614954,4.0475354,-3.5231004,2.775366,-0.75770414,-1.0337361,-2.479031,-0.34299368,1.0396322,3.7102318,2.8008633,2.5506828,0.9368031,6.6410213,-1.7730006,6.420801,-2.3934908,13.36077,-2.0568814,19.050655,-0.90882313,19.993607,-0.14289212,26.486382,6.641299,24.738934,4.9857054,22.533955,4.1880836,26.850374,0.21716736,31.219418,0.34017518,36.893112,-1.3736048,26.287745,-3.7231152,24.266668,-9.3509655,21.133253,-7.1972084,18.307163,-16.908613,15.379096,-23.791834,17.326351,-24.503607,14.39695,-26.612106,16.686243,-31.757952,12.686931,-37.287773,16.20604,-36.05111,14.873676,-31.474686,15.432687,-25.162495,15.519388,-18.042107,23.53295,-17.639233,27.984474,-17.983633,26.855747,-17.675291,31.643236,-14.539575,27.12574,-18.717152,32.097507,-17.273676,28.228535,-18.87722,24.620584,-19.245432,24.31956,-16.924606,31.760334,-12.862629,30.20989,-12.551962,28.217272,-13.584838,31.916006,-6.0148735,34.459156,-5.4969153,35.040855,-2.9168682,29.944168,0.81164086,29.531803,-7.327132,28.817831,-10.338845,26.449137,-10.70515,24.653244,-10.700901,29.503292,-15.421195,28.020674,-21.021912,31.3942,-22.243153,32.9269,-25.232084,34.62845,-24.964811,25.209768,-20.727495,26.875772,-18.974323,25.27867,-24.009085,27.202257,-24.995321,24.29422,-22.840569,24.080662,-20.233154,30.208155,-23.543612,27.042166,-20.331694,23.400305,-21.389896,25.026215,-15.730768,26.316383,-10.953042,25.106527,-1.2352204,16.553993,-2.0846791,14.695498,-6.2404084,18.811705,-9.929513,20.073437,-6.372933,20.043709,-9.480688,25.337051,-11.323997,25.82674,-13.995081,25.659327,-10.390143,32.268356,-8.79165,25.250153,-3.0882685,34.17437,-15.180622,22.916288,-11.965689,26.173903,-12.600938,15.603843,-11.365961,13.435031,-14.037118,16.473469,-10.9040785,12.122681,-6.7829766,6.2538605,-12.167079,5.732575,-10.309309,0.9413885,-2.7961824,2.3902268,-9.304962,0.52597874,-16.17852,-0.16472201,-17.726713,3.1166248,-20.396147,6.8579955,-26.064629,1.7714401,-26.982212,-7.130993,-32.44871,-11.937929,-32.409473,-13.41394,-38.089485,-19.456656,-36.993732,-25.91946
